Well,Sample,Target,Conc(copies/µL),Status,Experiment,SampleType,TargetType,Supermix,DyeName(s),Copies/20µLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Accepted Droplets,Positives,Negatives,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Linkage,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Threshold1,Threshold2,Threshold3,ReferenceUsed,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,Fractional Abundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,MeanAmplitudeOfPositives,MeanAmplitudeOfNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfidenceMax68,TotalConfidenceMin68,PoissonConfidenceMax68,PoissonConfidenceMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68
A01,48ALL_C1,C1,0.100163519,Manual,DQ,Unknown,Unknown,QX200 ddPCR EvaGreen Supermix,EvaGreen,2.003270388,,,0.478457868,0.004206696,11746,1,11745,0,0,0,0,,,,,,,,,13500,,,,,,,,,,,,,,36915.12109,7377.197817,7379.712539,,,,,0.249322802,0.027143471,,,,,,,,,,,,
A02,48ALL_D1,D1,0.126115724,Manual,DQ,Unknown,Unknown,QX200 ddPCR EvaGreen Supermix,EvaGreen,2.522314548,,,0.602450669,0.005296588,9329,1,9328,0,0,0,0,,,,,,,,,19000,,,,,,,,,,,,,,19787.42383,8788.61699,8789.795981,,,,,0.313927144,0.034176026,,,,,,,,,,,,
A03,48ALL_F1,F1,0.288881689,Manual,DQ,Unknown,Unknown,QX200 ddPCR EvaGreen Supermix,EvaGreen,5.777633667,,,0.765787899,0.068554826,12219,3,12216,0,0,0,0,,,,,,,,,18000,,,,,,,,,,,,,,19252.36393,12569.35985,12571.00066,,,,,0.49460867,0.150113329,,,,,,,,,,,,
A04,48ALL_G1,G3,45.80897141,Manual,DQ,Unknown,Unknown,QX200 ddPCR EvaGreen Supermix,EvaGreen,916.1794434,,,49.98482895,41.64788437,12150,464,11686,0,0,0,0,,,,,,,,,16000,,,,,,,,,,,,,,18802.36774,8330.265854,8730.188099,,,,,47.9376564,43.68413162,,,,,,,,,,,,
A05,56ALL_F1,F1,0.201157659,Manual,DQ,Unknown,Unknown,QX200 ddPCR EvaGreen Supermix,EvaGreen,4.023153305,,,0.644429386,0.030473176,11698,2,11696,0,0,0,0,,,,,,,,,18000,,,,,,,,,,,,,,21319.19531,11093.15327,11094.90161,,,,,0.386756122,0.0872982,,,,,,,,,,,,
A06,56ALL_C1,C1,0.698290944,Manual,DQ,Unknown,Unknown,QX200 ddPCR EvaGreen Supermix,EvaGreen,13.96581841,,,1.360254288,0.29662326,11797,7,11790,0,0,0,0,,,,,,,,,13500,,,,,,,,,,,,,,15954.91755,5344.714147,5351.009936,,,,,0.998883188,0.465115428,,,,,,,,,,,,
A07,56ALL_G3,G3,3.496762037,Manual,DQ,Unknown,Unknown,QX200 ddPCR EvaGreen Supermix,EvaGreen,69.9352417,,,4.753313065,2.484562397,12467,37,12430,0,0,0,0,,,,,,,,,16000,,,,,,,,,,,,,,18619.13133,6645.909614,6681.444162,,,,,4.102568626,2.953988314,,,,,,,,,,,,
A08,56ALL_D1,D1,0.49818787,Manual,DQ,Unknown,Unknown,QX200 ddPCR EvaGreen Supermix,EvaGreen,9.963757515,,,1.082831144,0.175138801,11810,5,11805,0,0,0,0,,,,,,,,,19000,,,,,,,,,,,,,,20928.68086,6194.474538,6200.712559,,,,,0.75882411,0.305463761,,,,,,,,,,,,
A09,64ALL_C1,C1,0,Manual,DQ,Unknown,Unknown,QX200 ddPCR EvaGreen Supermix,EvaGreen,0,,,0.29452312,0,11969,0,11969,0,0,0,0,,,,,,,,,13500,,,,,,,,,,,,,,0,4504.66502,4504.66502,,,,,0.134571001,0,,,,,,,,,,,,
A10,64ALL_G3,G3,2.214397669,Manual,DQ,Unknown,Unknown,QX200 ddPCR EvaGreen Supermix,EvaGreen,44.28795242,,,3.252458334,1.425305247,12231,23,12208,0,0,0,0,,,,,,,,,16000,,,,,,,,,,,,,,19077.59341,6054.759678,6079.248696,,,,,2.708391428,1.784574747,,,,,,,,,,,,
A11,64ALL_D1,D1,0,Manual,DQ,Unknown,Unknown,QX200 ddPCR EvaGreen Supermix,EvaGreen,0,,,0.354937345,0,9932,0,9932,0,0,0,0,,,,,,,,,19000,,,,,,,,,,,,,,0,5489.546416,5489.546416,,,,,0.16217269,0,,,,,,,,,,,,
A12,64ALL_F1,F1,4.019210815,Manual,DQ,Unknown,Unknown,QX200 ddPCR EvaGreen Supermix,EvaGreen,80.38421631,,,5.558670044,2.795064449,9676,33,9643,0,0,0,0,,,,,,,,,18000,,,,,,,,,,,,,,20012.49663,10057.10012,10091.05301,,,,,4.759266853,3.360459805,,,,,,,,,,,,
B01,49ALL_C1,C1,0,Manual,DQ,Unknown,Unknown,QX200 ddPCR EvaGreen Supermix,EvaGreen,0,,,0.30457598,0,11574,0,11574,0,0,0,0,,,,,,,,,13500,,,,,,,,,,,,,,0,6396.306865,6396.306865,,,,,0.139163941,0,,,,,,,,,,,,
B02,49ALL_D1,D1,1.383565307,Manual,DQ,Unknown,Unknown,QX200 ddPCR EvaGreen Supermix,EvaGreen,27.67130661,,,2.379606962,0.71421963,9359,11,9348,0,0,0,0,,,,,,,,,19000,,,,,,,,,,,,,,20452.02965,7756.786784,7771.708001,,,,,1.845157504,1.006319523,,,,,,,,,,,,
B03,49ALL_F1,F1,1.825715542,Manual,DQ,Unknown,Unknown,QX200 ddPCR EvaGreen Supermix,EvaGreen,36.51431274,,,2.810139894,1.103712201,11608,18,11590,0,0,0,0,,,,,,,,,18000,,,,,,,,,,,,,,19463.06706,11655.81292,11667.91927,,,,,2.290609837,1.428584218,,,,,,,,,,,,
B04,49ALL_G1,G3,238.1540833,Manual,DQ,Unknown,Unknown,QX200 ddPCR EvaGreen Supermix,EvaGreen,4763.081543,,,248.2463531,228.1477051,11814,2165,9649,0,0,0,0,,,,,,,,,16000,,,,,,,,,,,,,,18746.16645,7306.684966,9403.05177,,,,,243.2923737,233.038147,,,,,,,,,,,,
B05,57ALL_F1,F1,1.347796321,Manual,DQ,Unknown,Unknown,QX200 ddPCR EvaGreen Supermix,EvaGreen,26.9559269,,,2.226249933,0.738090098,11354,13,11341,0,0,0,0,,,,,,,,,18000,,,,,,,,,,,,,,19670.68495,11464.43728,11473.83319,,,,,1.757728934,1.007280231,,,,,,,,,,,,
B06,57ALL_C1,C1,3.818335772,Manual,DQ,Unknown,Unknown,QX200 ddPCR EvaGreen Supermix,EvaGreen,76.36671448,,,5.21182394,2.699340343,11110,36,11074,0,0,0,0,,,,,,,,,13500,,,,,,,,,,,,,,15769.3007,5893.426568,5925.4276,,,,,4.489627361,3.217823744,,,,,,,,,,,,
B07,57ALL_G3,G3,43.97913361,Manual,DQ,Unknown,Unknown,QX200 ddPCR EvaGreen Supermix,EvaGreen,879.5826416,,,48.30810928,39.66602707,10847,398,10449,0,0,0,0,,,,,,,,,16000,,,,,,,,,,,,,,19137.80463,7306.653641,7740.764279,,,,,46.18580627,41.77659225,,,,,,,,,,,,
B08,57ALL_D1,D1,2.982939005,Manual,DQ,Unknown,Unknown,QX200 ddPCR EvaGreen Supermix,EvaGreen,59.65877914,,,4.187205315,2.035732746,11847,30,11817,0,0,0,0,,,,,,,,,19000,,,,,,,,,,,,,,21211.33398,6669.728785,6706.552298,,,,,3.560414791,2.471723318,,,,,,,,,,,,
B09,65ALL_C1,C1,0,Manual,DQ,Unknown,Unknown,QX200 ddPCR EvaGreen Supermix,EvaGreen,0,,,0.315876275,0,11160,0,11160,0,0,0,0,,,,,,,,,13500,,,,,,,,,,,,,,0,5136.870287,5136.870287,,,,,0.144326791,0,,,,,,,,,,,,
B10,65ALL_G3,G3,75.74799347,Manual,DQ,Unknown,Unknown,QX200 ddPCR EvaGreen Supermix,EvaGreen,1514.959839,,,81.69793701,69.82798767,10039,626,9413,0,0,0,0,,,,,,,,,16000,,,,,,,,,,,,,,19002.76465,6478.818542,7259.771851,,,,,78.77992249,72.72386169,,,,,,,,,,,,
B11,65ALL_D1,D1,0.110492654,Manual,DQ,Unknown,Unknown,QX200 ddPCR EvaGreen Supermix,EvaGreen,2.209853172,,,0.52780652,0.004640483,10648,1,10647,0,0,0,0,,,,,,,,,19000,,,,,,,,,,,,,,22202.24023,5919.30925,5920.83845,,,,,0.275035471,0.029942485,,,,,,,,,,,,
B12,65ALL_F1,F1,0.121592738,Manual,DQ,Unknown,Unknown,QX200 ddPCR EvaGreen Supermix,EvaGreen,2.431854725,,,0.58084029,0.005106642,9676,1,9675,0,0,0,0,,,,,,,,,18000,,,,,,,,,,,,,,20470.45898,10245.84594,10246.90264,,,,,0.302667648,0.03295039,,,,,,,,,,,,
C01,50ALL_C1,C1,0,Manual,DQ,Unknown,Unknown,QX200 ddPCR EvaGreen Supermix,EvaGreen,0,,,0.296804786,0,11877,0,11877,0,0,0,0,,,,,,,,,13500,,,,,,,,,,,,,,0,6015.252336,6015.252336,,,,,0.135613456,0,,,,,,,,,,,,
C02,50ALL_D1,D1,0.363725632,Manual,DQ,Unknown,Unknown,QX200 ddPCR EvaGreen Supermix,EvaGreen,7.274512768,,,0.964240253,0.086314045,9705,3,9702,0,0,0,0,,,,,,,,,19000,,,,,,,,,,,,,,20569.69727,7448.688607,7452.74456,,,,,0.622766852,0.189002052,,,,,,,,,,,,
C03,50ALL_F1,F1,1.336372852,Manual,DQ,Unknown,Unknown,QX200 ddPCR EvaGreen Supermix,EvaGreen,26.72745705,,,2.207373857,0.731835902,11451,13,11438,0,0,0,0,,,,,,,,,18000,,,,,,,,,,,,,,19933.73618,11453.36113,11462.98867,,,,,1.742828488,0.998744011,,,,,,,,,,,,
C04,50ALL_G1,G3,70.63937378,Manual,DQ,Unknown,Unknown,QX200 ddPCR EvaGreen Supermix,EvaGreen,1412.787476,,,75.85508728,65.44667816,12149,708,11441,0,0,0,0,,,,,,,,,16000,,,,,,,,,,,,,,18749.03227,6830.713763,7525.270476,,,,,73.29756165,67.98717499,,,,,,,,,,,,
C05,58ALL_F1,F1,0,Manual,DQ,Unknown,Unknown,QX200 ddPCR EvaGreen Supermix,EvaGreen,0,,,0.302044243,0,11671,0,11671,0,0,0,0,,,,,,,,,18000,,,,,,,,,,,,,,0,11035.48053,11035.48053,,,,,0.138007253,0,,,,,,,,,,,,
C06,58ALL_C1,C1,0,Manual,DQ,Unknown,Unknown,QX200 ddPCR EvaGreen Supermix,EvaGreen,0,,,0.509829342,0,6915,0,6915,0,0,0,0,,,,,,,,,13500,,,,,,,,,,,,,,0,5360.751607,5360.751607,,,,,0.232935295,0,,,,,,,,,,,,
C07,58ALL_G3,G3,0.563956976,Manual,DQ,Unknown,Unknown,QX200 ddPCR EvaGreen Supermix,EvaGreen,11.27913952,,,1.225823164,0.198256463,10433,5,10428,0,0,0,0,,,,,,,,,16000,,,,,,,,,,,,,,18669.86953,6654.044289,6659.802856,,,,,0.859014153,0.345786333,,,,,,,,,,,,
