Plate,Well,Sample,Day,Temp,Symbiont,Pot,Replicate,Box,Number,Primer,Info,ALL.number,ul.DNA,BACKUP.NUMBER
14,A01,19ALL_C1,14,27,ALL,3,C,O,19,C1,ALL,19,2,
14,A02,20ALL_D1,14,27,ALL,3,E,O,20,D1,ALL,20,2,
14,A03,106ALL_F1,14,27,ALL,2,C,P,11,F1,ALL,106,2,
14,A04,20ALL_G3,14,27,ALL,3,E,O,20,G3,ALL,20,2,
14,A05,C1_CONTROL_D1_E5,,,D1,,,E,5,C1,CONTROL,,4,
14,A06,D1_CONTROL_F1_E1,,,F1,,,E,1,D1,CONTROL,,4,
14,A07,F1_CONTROL_D1_D15,,,D1,,,D,15,F1,CONTROL,,4,
14,A08,G3_CONTROL_C1_D38,,,C1,,,D,38,G3,CONTROL,,4,
14,A09,164ALL_C1,3,27,ALL,2,E,L,43,C1,ALL,164,4,BACKUP
14,A10,164ALL_D1,3,27,ALL,2,E,L,43,D1,ALL,164,4,BACKUP
14,A11,164ALL_F1,3,27,ALL,2,E,L,43,F1,ALL,164,4,BACKUP
14,A12,164ALL_G3,3,27,ALL,2,E,L,43,G3,ALL,164,4,BACKUP
14,B01,106ALL_C1,14,27,ALL,2,C,P,11,C1,ALL,106,2,
14,B02,78ALL_D1,7,31,ALL,1,E,L,33,D1,ALL,78,2,
14,B03,112ALL_F1,14,27,ALL,1,C,O,14,F1,ALL,112,2,
14,B04,19ALL_G3,14,27,ALL,3,C,O,19,G3,ALL,19,2,
14,B05,C1_CONTROL_D1_E43,3,31,F1,1,C,E,43,C1,CONTROL,,4,
14,B06,D1_CONTROL_LST_B315,,,,,,LAST,,D1,CONTROL,,4,B315
14,B07,F1_CONTROL_G3_E8,3,30,G3,1,D,E,8,F1,CONTROL,,4,
14,B08,G3_CONTROL_C1_D39,3,30,C1,1,D,D,39,G3,CONTROL,,4,
14,B09,165ALL_C1,7,27,ALL,2,D,LAST,31,C1,ALL,165,4,B121
14,B10,165ALL_D1,7,27,ALL,2,D,M,31,D1,ALL,165,4,B121
14,B11,165ALL_F1,7,27,ALL,2,D,LAST,31,F1,ALL,165,4,B121
14,B12,165ALL_G3,7,27,ALL,2,D,LAST,31,G3,ALL,165,4,B121
14,C01,112ALL_C1,14,27,ALL,1,C,O,14,C1,ALL,112,2,
14,C02,88ALL_D1,14,30,ALL,2,A,P,20,D1,ALL,88,2,
14,C03,78ALL_F1,7,31,ALL,1,E,L,33,F1,ALL,78,2,
14,C04,G3_CONTROL_H33,7,27,APO,1,C,H,33,G3,CONTROL,,4,
14,C05,C1_CONTROL_D1_E44,3,31,F1,1,D,E,44,C1,CONTROL,,4,
14,C06,D1_CONTROL_LST_B316,,,APO,,,LAST,,D1,CONTROL,,4,316
14,C07,F1_CONTROL_LAST_B311,,,APO,,,LAST,,F1,CONTROL,,4,311
14,C08,G3_CONTROL_C1_C31,3,27,C1,1,E,C,31,G3,CONTROL,,4,
14,C09,166ALL_C1,3,27,ALL,1,I,L,40,C1,ALL,166,4,B
14,C10,166ALL_D1,3,27,ALL,1,I,L,40,D1,ALL,166,4,B
14,C11,166ALL_F1,3,27,ALL,1,I,L,40,F1,ALL,166,4,B
14,C12,166ALL_G3,3,27,ALL,1,I,L,40,G3,ALL,166,4,B
14,D01,C1_27C_D14_1C,14,27,C1,2,B,F,20,C1,C1,,4,
14,D02,64ALL_D1,7,31,ALL,2,E,K,35,D1,ALL,64,1.5,
14,D03,88ALL_F1,14,30,ALL,2,A,P,20,F1,ALL,88,2,
14,D04,G3_CONTROL_D1_D9,3,27,D1,1,E,D,9,G3,CONTROL,,4,
