Plate,Well,Sample,Day,Temp,Symbiont,Pot,Replicate,Box,Number,Primer,Info,ALL.number,ul.DNA,BACKUP.NUMBER
16,A01,C1_CONTROL_F1,3,27,F1,1,C,D,17,C1,CONTROL,,4,
16,A02,D1_CONTROL_C1,7,27,C1,2,D,I,4,D1,CONTROL,,4,
16,A03,F1_CONTROL_G3,3,31,G3,2,D,F,15,F1,CONTROL,,4,
16,A04,G3_CONTROL_D1,7,30,D1,3,C,I,46,G3,CONTROL,,4,
16,A05,48ALL_G3,3,31,ALL,2,C,P,1,G3,ALL,48,1,
16,B01,C1_CONTROL_G3,14,31,G3,1,E,P,25,C1,CONTROL,,4,
16,B02,D1_CONTROL_G3,7,30,G3,2,E,K,10,D1,CONTROL,,4,
16,B03,F1_CONTROL_G3,3,31,G3,3,B,F,16,F1,CONTROL,,4,
16,B04,154ALL_G3,14,27,ALL,1,A,LAST,48,G3,ALL,154,2,
16,B05,49ALL_G3,3,31,ALL,3,A,P,2,G3,ALL,49,2,
16,C01,C1_CONTROL_F1,14,30,F1,2,B,G,40,C1,CONTROL,,4,
16,C02,D1_CONTROL_G3,3,31,G3,1,D,F,13,D1,CONTROL,,4,
16,C03,18ALL_F1,3,31,ALL,3,B,O,3,F1,ALL,18,2,
16,C04,G3_CONTROL_C1,7,30,C1,2,D,I,38,G3,CONTROL,,4,
16,C05,50ALL_G3,3,31,ALL,3,C,P,3,G3,ALL,50,2,
16,D01,C1_CONTROL_F1,7,31,F1,3,D,B,41,C1,CONTROL,,4,
16,D02,D1_CONTROL_C1,7,27,C1,3,D,I,6,D1,CONTROL,,4,
16,D03,8ALL_F1,3,30,ALL,1,B,J,27,F1,ALL,8,2,
16,D04,G3_CONTROL_D1,14,27,D1,2,C,F,26,G3,CONTROL,,4,
16,D05,51ALL_G3,3,31,ALL,3,E,P,4,G3,ALL,51,4,
16,E01,18ALL_C1,3,31,ALL,3,B,O,3,C1,ALL,18,2,
16,E02,D1_CONTROL_C1,7,30,C1,1,E,H,36,D1,CONTROL,,4,
16,E03,65ALL_F1,7,31,ALL,2,C,K,34,F1,ALL,65,2,
16,E05,52ALL_G3,7,30,ALL,3,A,L,19,G3,ALL,52,2,
16,F02,10ALL_D1,3,30,ALL,2,A,J,31,D1,ALL,10,2,
16,F03,G3_CONTROL_F1,3,31,F1,1,E,E,45,G3,CONTROL,,4,
16,F04,13ALL_G3,14,27,ALL,1,A,O,13,G3,ALL,13,2,
16,F05,53ALL_G3,7,27,ALL,1,E,I,27,G3,ALL,53,2,
16,G01,D1_CONTROLC_C1,3,31,C1,3,C,E,27,D1,CONTROL,,4,
16,G02,11ALL_D1,3,30,ALL,3,A,J,36,D1,ALL,11,2,
16,G03,G3_CONTROL_11,3,31,F1,1,E,E,45,G3,CONTROL,,4,
16,G04,18ALL_G3,3,31,ALL,3,B,O,3,G3,ALL,18,2,
16,G05,54ALL_G3,7,27,ALL,2,D,I,29,G3,ALL,54,2,
16,H01,D1_CONTROLC_F1,3,30,F1,2,D,F,8,D1,CONTROL,,4,
16,H02,77ALL_D1,3,30,ALL,2,D,J,34,D1,ALL,77,2,
16,H04,8ALL_G3,3,30,ALL,1,B,J,27,G3,ALL,8,2,
16,H05,55ALL_G3,3,30,ALL,1,D,J,29,G3,ALL,55,2,
