Well,Sample,Target,Conc(copies/µL),Status,Experiment,SampleType,TargetType,Supermix,DyeName(s),Copies/20µLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Accepted Droplets,Positives,Negatives,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Linkage,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Threshold1,Threshold2,Threshold3,ReferenceUsed,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,Fractional Abundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,MeanAmplitudeOfPositives,MeanAmplitudeOfNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfidenceMax68,TotalConfidenceMin68,PoissonConfidenceMax68,PoissonConfidenceMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68
A01,F1_30C_D14_2B,F1,9.184212685,Manual,DQ,Unknown,Unknown,QX200 ddPCR EvaGreen Supermix,EvaGreen,183.6842499,,,11.26365757,7.379824638,11188,87,11101,0,0,0,0,,,,,,,,,18000,,,,,,,,,,,,,,19437.34784,12461.15059,12515.39882,,,,,10.20406532,8.235238075,,,,,,,,,,,,
A02,F1_CONTROL_31C_1B,F1,0,Manual,DQ,Unknown,Unknown,QX200 ddPCR EvaGreen Supermix,EvaGreen,0,,,0.331160367,0,10645,0,10645,0,0,0,0,,,,,,,,,18000,,,,,,,,,,,,,,0,12769.56943,12769.56943,,,,,0.151309699,0,,,,,,,,,,,,
A03,C1_31C_D7_3D,C1,0,Manual,DQ,Unknown,Unknown,QX200 ddPCR EvaGreen Supermix,EvaGreen,0,,,0.32379818,0,10887,0,10887,0,0,0,0,,,,,,,,,13500,,,,,,,,,,,,,,0,6631.012719,6631.012719,,,,,0.147946119,0,,,,,,,,,,,,
A04,C1_CONTROL_30C_D3_1A,C1,0,Manual,DQ,Unknown,Unknown,QX200 ddPCR EvaGreen Supermix,EvaGreen,0,,,0.289944112,0,12158,0,12158,0,0,0,0,,,,,,,,,13500,,,,,,,,,,,,,,0,6364.479056,6364.479056,,,,,0.132478938,0,,,,,,,,,,,,
A05,G3_CONTROL_27C_D7_1C,G3,0,Manual,DQ,Unknown,Unknown,QX200 ddPCR EvaGreen Supermix,EvaGreen,0,,,0.296430379,0,11892,0,11892,0,0,0,0,,,,,,,,,16000,,,,,,,,,,,,,,0,9092.8857,9092.8857,,,,,0.135442391,0,,,,,,,,,,,,
A06,G3_CONTROL_31C_D_1C,G3,0.650223255,Manual,DQ,Unknown,Unknown,QX200 ddPCR EvaGreen Supermix,EvaGreen,13.0044651,,,1.329439998,0.254627943,10859,6,10853,0,0,0,0,,,,,,,,,16000,,,,,,,,,,,,,,18401.56527,8336.23487,8341.796338,,,,,0.955952346,0.417943954,,,,,,,,,,,,
A07,G3_CONTROL_31C_D3_1A,G3,0.103466913,Manual,DQ,Unknown,Unknown,QX200 ddPCR EvaGreen Supermix,EvaGreen,2.069338322,,,0.494240075,0.004345427,11371,1,11370,0,0,0,0,,,,,,,,,16000,,,,,,,,,,,,,,20067.52148,8806.135911,8807.126272,,,,,0.257546037,0.028038636,,,,,,,,,,,,
A08,D1_CONTROL_27C_D3_1E,D1,0,Manual,DQ,Unknown,Unknown,QX200 ddPCR EvaGreen Supermix,EvaGreen,0,,,0.337599307,0,10442,0,10442,0,0,0,0,,,,,,,,,19000,,,,,,,,,,,,,,0,9238.481012,9238.481012,,,,,0.154251471,0,,,,,,,,,,,,
A09,11ALL_D1,D1,0.51001215,Manual,DQ,Unknown,Unknown,QX200 ddPCR EvaGreen Supermix,EvaGreen,10.200243,,,1.202835321,0.153872892,9229,4,9225,0,0,0,0,,,,,,,,,19000,,,,,,,,,,,,,,22156.57227,8495.596959,8501.517849,,,,,0.814722419,0.292847455,,,,,,,,,,,,
A10,C1_10A,C1,0,Manual,DQ,Unknown,Unknown,QX200 ddPCR EvaGreen Supermix,EvaGreen,0,,,0.298261493,0,11819,0,11819,0,0,0,0,,,,,,,,,10000,,,,,,,,,,,,,,0,6973.62513,6973.62513,,,,,0.136278987,0,,,,,,,,,,,,
