Well,Sample,Target,Conc(copies/µL),Status,Experiment,SampleType,TargetType,Supermix,DyeName(s),Copies/20µLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Accepted Droplets,Positives,Negatives,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Linkage,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Threshold1,Threshold2,Threshold3,ReferenceUsed,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,Fractional Abundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,MeanAmplitudeOfPositives,MeanAmplitudeOfNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfidenceMax68,TotalConfidenceMin68,PoissonConfidenceMax68,PoissonConfidenceMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68
A01,196ALL_G3,G3,908.972778320313,Manual,DQ,Unknown,Unknown,QX200 ddPCR EvaGreen Supermix,EvaGreen,18179.455078125,,,933.340637207031,885.099426269531,10654,5734,4920,0,0,0,0,,,,,,,,,16000,,,,,,,,,,,,,,18007.3349096739,8283.03531752176,13516.6690570938,,,,,921.34228515625,896.73193359375,,,,,,,,,,,,
A02,D1_D10,D1,0.111234396696091,Manual,DQ,Unknown,Unknown,QX200 ddPCR EvaGreen Supermix,EvaGreen,2.2246880531311,,,0.531350314617157,0.0046716327778995,10577,1,10576,0,0,0,0,,,,,,,,,19000,,,,,,,,,,,,,,19449.806640625,7412.56502012406,7413.70307832775,,,,,0.276881903409958,0.0301434807479382,,,,,,,,,,,,
A03,G3_G36,G3,92.5870132446289,Manual,DQ,Unknown,Unknown,QX200 ddPCR EvaGreen Supermix,EvaGreen,1851.740234375,,,99.3384552001953,85.8740921020508,9606,727,8879,0,0,0,0,,,,,,,,,16000,,,,,,,,,,,,,,17627.5679940036,6884.91013716749,7697.9345242089,,,,,96.0267868041992,89.1572723388672,,,,,,,,,,,,
A04,222ALL_C1,C1,0.233914017677307,Manual,DQ,Unknown,Unknown,QX200 ddPCR EvaGreen Supermix,EvaGreen,4.67828035354614,,,0.749390780925751,0.0354349836707115,10060,2,10058,0,0,0,0,,,,,,,,,13500,,,,,,,,,,,,,,14806.5786132813,6350.06354564425,6351.74476136347,,,,,0.4497409760952,0.101512968540192,,,,,,,,,,,,
A05,222ALL_D1,D1,0.560980975627899,Manual,DQ,Unknown,Unknown,QX200 ddPCR EvaGreen Supermix,EvaGreen,11.2196197509766,,,1.14693069458008,0.219685673713684,12586,6,12580,0,0,0,0,,,,,,,,,17589.419921875,,,,,,,,,,,,,,19068.9078776042,7677.08910390978,7682.51981363822,,,,,0.824734389781952,0.360586553812027,,,,,,,,,,,,
A06,222ALL_F1,F1,0.0866102650761604,Manual,DQ,Unknown,Unknown,QX200 ddPCR EvaGreen Supermix,EvaGreen,1.73220527172089,,,0.41370815038681,0.00363750290125608,13584,1,13583,0,0,0,0,,,,,,,,,18000,,,,,,,,,,,,,,32858.21484375,11886.2175048702,11887.7613798215,,,,,0.215584769845009,0.0234707519412041,,,,,,,,,,,,
A07,222ALL_G3,G3,11.4639959335327,Manual,DQ,Unknown,Unknown,QX200 ddPCR EvaGreen Supermix,EvaGreen,229.279922485352,,,13.5796518325806,9.35213756561279,11653,113,11540,0,0,0,0,,,,,,,,,16000,,,,,,,,,,,,,,17526.0560270326,7557.55713598294,7654.22240455658,,,,,12.5429363250732,10.386043548584,,,,,,,,,,,,
A08,230ALL_C1,C1,0,Manual,DQ,Unknown,Unknown,QX200 ddPCR EvaGreen Supermix,EvaGreen,0,,,0.256818503141403,0,13726,0,13726,0,0,0,0,,,,,,,,,13500,,,,,,,,,,,,,,0,6849.25839732761,6849.25839732762,,,,,0.117344349622726,0,,,,,,,,,,,,
A09,230ALL_D1,D1,0.533264636993408,Manual,DQ,Unknown,Unknown,QX200 ddPCR EvaGreen Supermix,EvaGreen,10.6652927398682,,,1.09025084972382,0.208833158016205,13240,6,13234,0,0,0,0,,,,,,,,,19000,,,,,,,,,,,,,,20967.9729817708,8246.37533671261,8252.14041117406,,,,,0.783982455730438,0.342772513628006,,,,,,,,,,,,
A10,230ALL_F1,F1,0.10054874420166,Manual,DQ,Unknown,Unknown,QX200 ddPCR EvaGreen Supermix,EvaGreen,2.0109748840332,,,0.480298310518265,0.00422287406399846,11701,1,11700,0,0,0,0,,,,,,,,,18000,,,,,,,,,,,,,,23739.03515625,12154.3905476158,12155.3806035605,,,,,0.250281751155853,0.0272478591650724,,,,,,,,,,,,
A11,230ALL_G3,G3,33.0340690612793,Manual,DQ,Unknown,Unknown,QX200 ddPCR EvaGreen Supermix,EvaGreen,660.681396484375,,,36.882495880127,29.1981868743896,10257,284,9973,0,0,0,0,,,,,,,,,16000,,,,,,,,,,,,,,17788.2947568222,7471.68091956498,7757.33153180842,,,,,34.995979309082,31.0754222869873,,,,,,,,,,,,
A12,238ALL_G3,G3,5.07450151443481,Manual,DQ,Unknown,Unknown,QX200 ddPCR EvaGreen Supermix,EvaGreen,101.490028381348,,,6.62109088897705,3.7908182144165,11617,50,11567,0,0,0,0,,,,,,,,,16000,,,,,,,,,,,,,,18123.8392578125,6991.79184742226,7039.7045934427,,,,,5.8252534866333,4.39151906967163,,,,,,,,,,,,
B01,197ALL_G3,G3,1176.53527832031,Manual,DQ,Unknown,Unknown,QX200 ddPCR EvaGreen Supermix,EvaGreen,23530.705078125,,,1206.55859375,1147.25915527344,10398,6573,3825,0,0,0,0,,,,,,,,,16000,,,,,,,,,,,,,,18874.5136757379,8246.42726843342,14964.8742731663,,,,,1191.75756835938,1161.50744628906,,,,,,,,,,,,
B02,D1_L1,D1,0.961037993431091,Manual,DQ,Unknown,Unknown,QX200 ddPCR EvaGreen Supermix,EvaGreen,19.220760345459,,,1.74155128002167,0.458210408687592,11022,9,11013,0,0,0,0,,,,,,,,,19000,,,,,,,,,,,,,,20620.6332465278,6718.1253884791,6729.47746348567,,,,,1.31959939002991,0.67424613237381,,,,,,,,,,,,
B03,G3_G44,G3,40.1479797363281,Manual,DQ,Unknown,Unknown,QX200 ddPCR EvaGreen Supermix,EvaGreen,802.959594726563,,,44.155029296875,36.1545295715332,11535,387,11148,0,0,0,0,,,,,,,,,16000,,,,,,,,,,,,,,17707.0679859092,6280.76646968101,6664.11962848295,,,,,42.1906890869141,38.1088104248047,,,,,,,,,,,,
B04,223ALL_C1,C1,0.619956433773041,Manual,DQ,Unknown,Unknown,QX200 ddPCR EvaGreen Supermix,EvaGreen,12.3991289138794,,,1.26753962039948,0.242777332663536,11389,6,11383,0,0,0,0,,,,,,,,,13500,,,,,,,,,,,,,,14728.6438802083,6636.27699702441,6640.54025115551,,,,,0.911448776721954,0.398491144180298,,,,,,,,,,,,
B05,223ALL_D1,D1,1.28453195095062,Manual,DQ,Unknown,Unknown,QX200 ddPCR EvaGreen Supermix,EvaGreen,25.6906394958496,,,2.02586317062378,0.750959753990173,14662,16,14646,0,0,0,0,,,,,,,,,17589.419921875,,,,,,,,,,,,,,19380.7214355469,7619.92025114646,7632.75429963578,,,,,1.63312292098999,0.989527463912964,,,,,,,,,,,,
B06,223ALL_F1,F1,0,Manual,DQ,Unknown,Unknown,QX200 ddPCR EvaGreen Supermix,EvaGreen,0,,,0.229749724268913,0,15343,0,15343,0,0,0,0,,,,,,,,,18000,,,,,,,,,,,,,,0,11761.6408540081,11761.6408540081,,,,,0.104976862668991,0,,,,,,,,,,,,
B07,223ALL_G3,G3,3.78760313987732,Manual,DQ,Unknown,Unknown,QX200 ddPCR EvaGreen Supermix,EvaGreen,75.7520599365234,,,5.16985082626343,2.67762470245361,11200,36,11164,0,0,0,0,,,,,,,,,16000,,,,,,,,,,,,,,17538.4290907118,8201.0336823964,8231.04673906598,,,,,4.45348167419434,3.19193124771118,,,,,,,,,,,,
B08,231ALL_C1,C1,0.0846290439367294,Manual,DQ,Unknown,Unknown,QX200 ddPCR EvaGreen Supermix,EvaGreen,1.69258093833923,,,0.40424320101738,0.00355429691262543,13902,1,13901,0,0,0,0,,,,,,,,,13500,,,,,,,,,,,,,,24650.126953125,6091.52559821742,6092.86055731358,,,,,0.210652962327003,0.02293386682868,,,,,,,,,,,,
B09,231ALL_D1,D1,0,Manual,DQ,Unknown,Unknown,QX200 ddPCR EvaGreen Supermix,EvaGreen,0,,,0.241973385214806,0,14568,0,14568,0,0,0,0,,,,,,,,,19000,,,,,,,,,,,,,,0,7101.67747545321,7101.67747545321,,,,,0.110561773180962,0,,,,,,,,,,,,
B10,231ALL_F1,F1,0.131295189261436,Manual,DQ,Unknown,Unknown,QX200 ddPCR EvaGreen Supermix,EvaGreen,2.62590384483337,,,0.627198040485382,0.00551410298794508,8961,1,8960,0,0,0,0,,,,,,,,,18000,,,,,,,,,,,,,,19214.435546875,11492.6170176234,11493.4787315536,,,,,0.326820909976959,0.0355795510113239,,,,,,,,,,,,
