Well,Sample,Target,Conc(copies/µL),Status,Experiment,SampleType,TargetType,Supermix,DyeName(s),Copies/20µLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Accepted Droplets,Positives,Negatives,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Linkage,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Threshold1,Threshold2,Threshold3,ReferenceUsed,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,Fractional Abundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,MeanAmplitudeOfPositives,MeanAmplitudeOfNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfidenceMax68,TotalConfidenceMin68,PoissonConfidenceMax68,PoissonConfidenceMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68
A01,71ALL_C1,C1,1.60624051094055,Manual,DQ,Unknown,Unknown,QX200 ddPCR EvaGreen Supermix,EvaGreen,32.1248092651367,,,2.53343677520752,0.938982844352722,11727,16,11711,0,0,0,0,,,,,,,,,13500,,,,,,,,,,,,,,14788.7539672852,5377.90824723751,5390.74814930291,,,,,2.04221105575562,1.23731398582459,,,,,,,,,,,,
A02,71ALL_D1,D1,5.13809394836426,Manual,DQ,Unknown,Unknown,QX200 ddPCR EvaGreen Supermix,EvaGreen,102.761878967285,,,6.6873459815979,3.84985160827637,11703,51,11652,0,0,0,0,,,,,,,,,16430.73046875,,,,,,,,,,,,,,18505.1641007966,6311.15066720037,6364.29043350931,,,,,5.89043998718262,4.4530291557312,,,,,,,,,,,,
A03,71ALL_F1,F1,1.78388285636902,Manual,DQ,Unknown,Unknown,QX200 ddPCR EvaGreen Supermix,EvaGreen,35.6776580810547,,,2.74572491645813,1.07843041419983,11880,18,11862,0,0,0,0,,,,,,,,,17143.576171875,,,,,,,,,,,,,,18268.740234375,10312.5058622976,10324.5607628614,,,,,2.23811507225037,1.39585638046265,,,,,,,,,,,,
A04,71ALL_G3,G3,175.594360351563,Manual,DQ,Unknown,Unknown,QX200 ddPCR EvaGreen Supermix,EvaGreen,3511.88720703125,,,184.235427856445,167.01628112793,11547,1601,9946,0,0,0,0,,,,,,,,,15382.87109375,,,,,,,,,,,,,,17656.0271009818,6641.55971980138,8168.72368249903,,,,,179.995132446289,171.209976196289,,,,,,,,,,,,
A05,79ALL_F1,F1,1.12312233448029,Manual,DQ,Unknown,Unknown,QX200 ddPCR EvaGreen Supermix,EvaGreen,22.4624462127686,,,1.93151473999023,0.579805612564087,11528,11,11517,0,0,0,0,,,,,,,,,16753.1484375,,,,,,,,,,,,,,18008.4721235795,9606.561949311,9614.57903917196,,,,,1.49776899814606,0.816914200782776,,,,,,,,,,,,
A06,79ALL_D1,D1,0,Manual,DQ,Unknown,Unknown,QX200 ddPCR EvaGreen Supermix,EvaGreen,0,,,0.284859210252762,0,12375,0,12375,0,0,0,0,,,,,,,,,19000,,,,,,,,,,,,,,0,5614.98675351168,5614.98675351168,,,,,0.130155742168427,0,,,,,,,,,,,,
A07,79ALL_G3,G3,2.87949204444885,Manual,DQ,Unknown,Unknown,QX200 ddPCR EvaGreen Supermix,EvaGreen,57.5898399353027,,,4.06431341171265,1.95142674446106,11863,29,11834,0,0,0,0,,,,,,,,,16000,,,,,,,,,,,,,,18271.2268992457,5925.38253881659,5955.56288834475,,,,,3.44718623161316,2.37805318832397,,,,,,,,,,,,
A08,79ALL_C1,C1,0,Manual,DQ,Unknown,Unknown,QX200 ddPCR EvaGreen Supermix,EvaGreen,0,,,0.271183341741562,0,12999,0,12999,0,0,0,0,,,,,,,,,13500,,,,,,,,,,,,,,0,4567.94052823399,4567.94052823398,,,,,0.123907454311848,0,,,,,,,,,,,,
A09,87ALL_G3,G3,78.5856018066406,Manual,DQ,Unknown,Unknown,QX200 ddPCR EvaGreen Supermix,EvaGreen,1571.71203613281,,,84.2094268798828,72.9885330200195,11669,754,10915,0,0,0,0,,,,,,,,,15244.3330078125,,,,,,,,,,,,,,17425.4031739576,5888.04804188706,6633.5417234006,,,,,81.451545715332,75.7266311645508,,,,,,,,,,,,
A10,87ALL_C1,C1,2.39363384246826,Manual,DQ,Unknown,Unknown,QX200 ddPCR EvaGreen Supermix,EvaGreen,47.8726768493652,,,3.48904776573181,1.55610597133636,11808,24,11784,0,0,0,0,,,,,,,,,13500,,,,,,,,,,,,,,15084.4170735677,4682.83333391344,4703.97476427857,,,,,2.91559338569641,1.93816912174225,,,,,,,,,,,,
