Well,Sample,Target,Conc(copies/µL),Status,Experiment,SampleType,TargetType,Supermix,DyeName(s),Copies/20µLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Accepted Droplets,Positives,Negatives,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Linkage,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Threshold1,Threshold2,Threshold3,ReferenceUsed,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,Fractional Abundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,MeanAmplitudeOfPositives,MeanAmplitudeOfNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfidenceMax68,TotalConfidenceMin68,PoissonConfidenceMax68,PoissonConfidenceMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68
A01,CONTROL_27C_D3_1B,C1,0,Manual,DQ,Unknown,Unknown,QX200 ddPCR EvaGreen Supermix,EvaGreen,0,,,0.327103645,0,10777,0,10777,0,0,0,0,,,,,,,,,13500,,,,,,,,,,,,,,0,6988.090924,6988.090924,,,,,0.149456307,0,,,,,,,,,,,,
A02,CONTROL_27C_D14_D,C1,0,Manual,DQ,Unknown,Unknown,QX200 ddPCR EvaGreen Supermix,EvaGreen,0,,,0.305288225,0,11547,0,11547,0,0,0,0,,,,,,,,,13500,,,,,,,,,,,,,,0,6677.449974,6677.449974,,,,,0.139489353,0,,,,,,,,,,,,
A03,C1_27C_D3_1A,C1,0.099284403,Manual,DQ,Unknown,Unknown,QX200 ddPCR EvaGreen Supermix,EvaGreen,1.98568809,,,0.474257916,0.004169777,11850,1,11849,0,0,0,0,,,,,,,,,13500,,,,,,,,,,,,,,17262.875,5657.437521,5658.416883,,,,,0.247134417,0.026905246,,,,,,,,,,,,
A04,C1_30C_D3_2A,C1,0,Manual,DQ,Unknown,Unknown,QX200 ddPCR EvaGreen Supermix,EvaGreen,0,,,0.312238604,0,11290,0,11290,0,0,0,0,,,,,,,,,13500,,,,,,,,,,,,,,0,5800.678096,5800.678096,,,,,0.14266482,0,,,,,,,,,,,,
A05,C1_31C_D3_3A,C1,0,Manual,DQ,Unknown,Unknown,QX200 ddPCR EvaGreen Supermix,EvaGreen,0,,,0.298564702,0,11807,0,11807,0,0,0,0,,,,,,,,,13500,,,,,,,,,,,,,,0,5539.752256,5539.752256,,,,,0.136417508,0,,,,,,,,,,,,
A06,C1_31C_D7_2C,C1,0,Manual,DQ,Unknown,Unknown,QX200 ddPCR EvaGreen Supermix,EvaGreen,0,,,0.332911938,0,10589,0,10589,0,0,0,0,,,,,,,,,13500,,,,,,,,,,,,,,0,5619.699616,5619.699616,,,,,0.152109951,0,,,,,,,,,,,,
A07,C1_27C_D14_3A,C1,0.283020854,Manual,DQ,Unknown,Unknown,QX200 ddPCR EvaGreen Supermix,EvaGreen,5.66041708,,,0.750248611,0.067164123,12472,3,12469,0,0,0,0,,,,,,,,,13500,,,,,,,,,,,,,,16191.30436,5243.423185,5246.056575,,,,,0.484573275,0.147068024,,,,,,,,,,,,
A08,F1_27C_D3_1A,F1,0,Manual,DQ,Unknown,Unknown,QX200 ddPCR EvaGreen Supermix,EvaGreen,0,,,0.304470718,0,11578,0,11578,0,0,0,0,,,,,,,,,18000,,,,,,,,,,,,,,0,11348.89387,11348.89387,,,,,0.139115855,0,,,,,,,,,,,,
A09,F1_30C_D3_2A,F1,0.100027256,Manual,DQ,Unknown,Unknown,QX200 ddPCR EvaGreen Supermix,EvaGreen,2.000545025,,,0.477806896,0.004200974,11762,1,11761,0,0,0,0,,,,,,,,,18000,,,,,,,,,,,,,,19216.03711,11666.77069,11667.41253,,,,,0.248983607,0.027106546,,,,,,,,,,,,
A10,F1_31C_D3_3A,F1,0,Manual,DQ,Unknown,Unknown,QX200 ddPCR EvaGreen Supermix,EvaGreen,0,,,0.291261852,0,12103,0,12103,0,0,0,0,,,,,,,,,18000,,,,,,,,,,,,,,0,11726.67122,11726.67122,,,,,0.133080989,0,,,,,,,,,,,,
A11,F1_31C_D7_3A,F1,0.100574531,Manual,DQ,Unknown,Unknown,QX200 ddPCR EvaGreen Supermix,EvaGreen,2.011490583,,,0.480421513,0.004223957,11698,1,11697,0,0,0,0,,,,,,,,,18000,,,,,,,,,,,,,,20718.19531,10908.51566,10909.35424,,,,,0.250345945,0.02725485,,,,,,,,,,,,
A12,F1_27C_D14_3A,F1,0,Manual,DQ,Unknown,Unknown,QX200 ddPCR EvaGreen Supermix,EvaGreen,0,,,0.294154435,0,11984,0,11984,0,0,0,0,,,,,,,,,18000,,,,,,,,,,,,,,0,10405.879,10405.879,,,,,0.134402543,0,,,,,,,,,,,,
B01,CONTROL_27C_D3_1C,C1,0,Manual,DQ,Unknown,Unknown,QX200 ddPCR EvaGreen Supermix,EvaGreen,0,,,0.388504297,0,9074,0,9074,0,0,0,0,,,,,,,,,13500,,,,,,,,,,,,,,0,7230.919776,7230.919776,,,,,0.177508235,0,,,,,,,,,,,,
B02,CONTROL_27C_D14_A,C1,0,Manual,DQ,Unknown,Unknown,QX200 ddPCR EvaGreen Supermix,EvaGreen,0,,,0.305738419,0,11530,0,11530,0,0,0,0,,,,,,,,,13500,,,,,,,,,,,,,,0,5692.662157,5692.662157,,,,,0.139695033,0,,,,,,,,,,,,
B03,C1_27C_D3_1B,C1,0.20707041,Manual,DQ,Unknown,Unknown,QX200 ddPCR EvaGreen Supermix,EvaGreen,4.141407967,,,0.663375199,0.031368826,11364,2,11362,0,0,0,0,,,,,,,,,13500,,,,,,,,,,,,,,15483.11621,7010.970835,7012.461885,,,,,0.398125201,0.089864083,,,,,,,,,,,,
B04,C1_30C_D3_2B,C1,0,Manual,DQ,Unknown,Unknown,QX200 ddPCR EvaGreen Supermix,EvaGreen,0,,,0.326618671,0,10793,0,10793,0,0,0,0,,,,,,,,,13500,,,,,,,,,,,,,,0,6673.061695,6673.061695,,,,,0.149234712,0,,,,,,,,,,,,
B05,C1_31C_D3_3B,C1,0.228418708,Manual,DQ,Unknown,Unknown,QX200 ddPCR EvaGreen Supermix,EvaGreen,4.568374157,,,0.731781721,0.034602586,10302,2,10300,0,0,0,0,,,,,,,,,13500,,,,,,,,,,,,,,16449.79004,5787.557892,5789.627826,,,,,0.439174294,0.099128269,,,,,,,,,,,,
B06,C1_31C_D7_3A,C1,0.112597078,Manual,DQ,Unknown,Unknown,QX200 ddPCR EvaGreen Supermix,EvaGreen,2.251941681,,,0.537860811,0.00472886,10449,1,10448,0,0,0,0,,,,,,,,,13500,,,,,,,,,,,,,,17383.67969,5535.515538,5536.649442,,,,,0.280274123,0.030512745,,,,,,,,,,,,
B07,C1_27C_D14_3B,C1,137.5866547,Manual,DQ,Unknown,Unknown,QX200 ddPCR EvaGreen Supermix,EvaGreen,2751.733154,,,145.4345703,129.7907562,10782,1190,9592,0,0,0,0,,,,,,,,,13500,,,,,,,,,,,,,,15968.8241,5371.221922,6540.870095,,,,,141.5841522,133.6026917,,,,,,,,,,,,
