Plate,Well,Sample,Day,Temp,Symbiont,Pot,Replicate,Box,Number,Primer,Info,ALL.number,ul.DNA,BACKUP.NUMBER
12,A01,F1_30C_D14_2B,14,30,F1,2,B,G,40,F1,F1,,4,
12,A02,F1_CONTROL_31C_D_1B,3,31,APO,1,B,P,5,F1,CONTROL,,4,
12,A03,C1_31C_D7_3D,7,31,APO,3,D,L,23,C1,CONTROL,,4,
12,A04,C1_CONTROL_30C_D3_1A,3,30,APO,1,A,J,41,C1,CONTROL,,4,
12,A05,G3_CONTROL_27C_D7_1C,7,31,APO,1,C,O,36,G3,CONTROL,,4,
12,A06,G3_CONTROL_31C_D_1C,3,31,APO,1,C,O,6,G3,CONTROL,,4,
12,A07,G3_CONTROL_31C_D3_1A,3,31,APO,1,A,O,5,G3,CONTROL,,4,
12,A08,D1_CONTROL_27C_D3_1E,3,27,APO,1,E,J,25,D1,CONTROL,,4,
12,A09,11ALL_D1,3,30,ALL,3,A,J,36,D1,ALL,11,4,
12,A10,C1_10A,,,G3,,,E,15,C1,CONTROL,,4,
12,A11,F1_11A,,,C1,,,D,35,F1,CONTROL,,4,
12,A12,G3_12A,,,D1,,,D,9,G3,CONTROL,,4,
12,B01,F1_30C_D14_3B,14,30,F1,3,A,C,23,F1,F1,,4,
12,B02,65ALL_F1,7,31,ALL,2,C,K,34,F1,ALL,65,4,
12,B03,61ALL_C1,3,30,ALL,1,D,J,29,C1,ALL,61,4,
12,B04,C1_CONTROL_30C_D3_1D,3,30,APO,1,D,J,44,C1,CONTROL,,4,
12,B05,G3_CONTROL_27C_D7_1B,7,31,APO,1,B,P,27,G3,CONTROL,,4,
12,B06,G3_GONTROL_31C_D3_1D,3,31,APO,1,D,P,6,G3,CONTROL,,4,
12,B07,17ALL_D1,3,31,ALL,2,D,O,2,D1,ALL,17,4,
12,B08,D1_CONTROL_30C_D3_1B,3,30,APO,1,B,J,42,D1,CONTROL,,4,
12,B09,12ALL_D1,3,30,ALL,3,B,J,37,D1,ALL,12,4,
12,B10,D1_30C_D3_3D,3,30,C1,3,D,D,42,D1,CONTROL,,4,
12,B11,F1_11B,,,D1,,,D,14,F1,CONTROL,,4,
12,B12,G3_12B,,,F1,,,H,16,G3,CONTROL,,4,
12,C01,F1_30C_D14_1D,7,30,F1,1,D,K,2,F1,F1,,4,
12,C02,109ALL_F1,14,30,ALL,1,B,P,18,F1,ALL,109,4,
12,C03,91ALL_C1,14,30,ALL,3,B,P,23,C1,ALL,91,4,
12,C04,58ALL_C1,7,27,ALL,3,B,H,30,C1,ALL,58,4,
12,C05,100ALL_G3,14,30,ALL,2,D,O,27,G3,ALL,100,4,
12,C06,G3_CONTROL_27C_D7_1C,7,27,APO,1,C,H,33,G3,CONTROL,,4,
12,C07,D1_30C_D14_1A,14,30,D1,1,A,C,18,D1,D1,,4,
12,C08,D1_CONTROL_30C_D3_1C,3,30,APO,1,C,J,43,D1,CONTROL,,4,
12,C09,104ALL_G3,7,30,ALL,3,D,K,19,G3,ALL,104,4,
12,C10,D1_10B,3,30,C1,3,E,D,43,D1,CONTROL,,4,
12,C11,F1_11C,3,27,D1,3,E,D,15,F1,CONTROL,,4,
12,C12,G3_12C,7,,F1,,,H,17,G3,CONTROL,,4,
12,D01,F1_31C_D14_3E,7,31,F1,3,E,K,26,F1,F1,,4,
12,D02,113ALL_F1,14,27,ALL,1,E,O,15,F1,ALL,113,4,
12,D03,C1_31C_D7_3B,7,31,C1,3,B,B,37,C1,C1,,4,
12,D04,96ALL_C1,3,31,ALL,1,C,J,3,C1,ALL,96,4,
12,D05,G3_31C_D14_1B,14,31,G3,1,B,G,46,G3,G3,,4,
12,D06,G3_CONTROL_27C_D7_1B,7,27,APO,1,B,I,33,G3,CONTROL,,4,
12,D07,48ALL_D1,3,31,ALL,2,C,P,1,D1,ALL,48,4,
12,D08,D1_CONTROL_30C_D3_1E,3,30,APO,1,E,J,45,D1,CONTROL,,4,
12,D09,C1_9D,3,27,D1,3,C,D,13,C1,CONTROL,,4,
12,D10,D1_10D,3,30,F1,2,E,E,1,D1,CONTROL,,4,
12,D11,F1_11D,3,30,G3,1,C,E,7,F1,CONTROL,,4,
12,D12,C1_CONTROL_27C_D14_C,14,27,APO,,C,P,16,C1,CONTROL,,4,
12,E01,62ALL_F1,3,30,ALL,2,B,J,32,F1,ALL,62,4,
12,E02,F1_30C_D14_1E,14,30,F1,1,A,C,21,F1,F1,,4,
12,E03,C1C_3,,,C1,,,,,C1,CopyNumber,,4,
12,E04,95ALL_C1,3,27,ALL,1,E,J,11,C1,ALL,95,4,
12,E05,54ALL_G3,7,27,ALL,2,D,I,29,G3,ALL,54,4,
12,E06,G3_GONTROL_27C_D7_1D,7,27,APO,1,D,I,34,G3,CONTROL,,4,
12,E07,49ALL_D1,3,31,ALL,3,A,p,2,D1,ALL,49,4,
12,E08,D1_CONTROL_31C_D3_1B,3,31,APO,1,B,P,5,D1,CONTROL,,4,
12,E09,C1_9E,3,31,D1,1,E,E,33,C1,CONTROL,,4,
12,E10,D1_10E,3,30,F1,3,C,E,3,D1,CONTROL,,4,
12,E11,F1_11E,3,30,G3,2,C,E,8,F1,CONTROL,,4,
12,E12,NTC_G3,,,G3,,,,,G3,NTC,,4,
12,F01,89ALL_F1,14,30,ALL,2,C,P,21,F1,ALL,89,4,
12,F02,F1_31C_D7_3D,7,31,F1,3,D,B,41,F1,F1,,4,
12,F03,C1C_4,,,C1,,,,,C1,CopyNumber,,4,
12,F04,89ALL_C1b,14,30,ALL,2,C,P,21,C1,ALL,89,2,
12,F05,G3_31C_D_1E,14,31,G3,1,E,P,25,G3,G3,,4,
12,F06,43ALL_G3,14,27,ALL,2,A,P,10,G3,ALL,43,4,
12,F07,D1_CONTROL_27C_D3_3A,3,27,APO,1,B,J,22,D1,CONTROL,,4,
12,F08,75ALL_D1,3,30,ALL,3,E,J,40,D1,ALL,75,4,
12,F09,C1_9F,3,27,F1,1,D,D,18,C1,CONTROL,,4,
12,F10,D1_10F,3,30,G3,3,E,E,17,D1,CONTROL,,4,
12,F11,G3_11F,3,27,D1,2,E,D,12,G3,CONTROL,,4,
12,F12,NTC_F1,,,,,,,,F1,NTC,,4,
12,G01,F1_CONTROL_31C_D3_E1,3,31,APO,1,E,O,7,F1,CONTROL,,4,
12,G02,C1A_1,,,C1,,,,,C1,CopyNumber,,4,
12,G03,C1C_5,,,C1,,,,,C1,CopyNumber,,4,
12,G04,C1_27C_D14_2B,14,27,C1,2,B,F,20,C1,C1,,4,
12,G05,41ALL_1A,14,27,ALL,1,A,O,13,G3,ALL,41,4,
12,G06,104ALL_G3,7,30,ALL,3,D,K,19,G3,ALL,104,2,
12,G07,D1_CONTROL_27C_D3_1C,3,27,APO,1,C,J,23,D1,CONTROL,,4,
12,G08,84ALL_D1,7,27,ALL,1,B,H,25,D1,ALL,84,4,
12,G09,C1_9G,3,27,F1,3,E,D,25,C1,CONTROL,,4,
12,G10,D1_10G,3,30,G3,3,D,E,16,D1,CONTROL,,4,
12,G11,G3_11G,3,30,D1,1,E,D,47,G3,CONTROL,,4,
12,G12,NTC_D1,,,,,,,,D1,NTC,,4,
12,H01,F1_CONTROL_27C_D14_1B,14,27,CONTROL,1,B,O,21,F1,CONTROL,,4,
12,H02,30ALL_C1,7,31,ALL,1,A,L,31,C1,ALL,30,4,
12,H03,C1_CONTROL_27C_D3_1C,3,27,CONTROL,1,C,J,23,C1,CONTROL,,4,
12,H04,G3_CONTROL_27C_D7_1E,7,27,CONTROL,1,E,H,34,G3,CONTROL,,4,
12,H05,76ALL_G3,3,31,ALL,2,E,J,46,G3,ALL,76,4,
12,H06,G3_CONTROL_31C)D14_C,14,31,CONTROL,,C,P,26,G3,CONTROL,,4,
12,H07,D1_CONTROL_27C_D3_1D,3,27,CONTROL,1,D,J,24,D1,CONTROL,,4,
