Well,Sample,Target,Conc(copies/µL),Status,Experiment,SampleType,TargetType,Supermix,DyeName(s),Copies/20µLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Accepted Droplets,Positives,Negatives,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Linkage,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Threshold1,Threshold2,Threshold3,ReferenceUsed,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,Fractional Abundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,MeanAmplitudeOfPositives,MeanAmplitudeOfNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfidenceMax68,TotalConfidenceMin68,PoissonConfidenceMax68,PoissonConfidenceMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68
A01,25ALL_G3,G3,520.303405761719,Manual,DQ,Unknown,Unknown,QX200 ddPCR EvaGreen Supermix,EvaGreen,10406.068359375,,,536.448791503906,504.376556396484,11502,4111,7391,0,0,0,0,,,,,,,,,16000,,,,,,,,,,,,,,18740.904928992,7683.853018359,11635.8214068664,,,,,528.51318359375,512.150512695313,,,,,,,,,,,,
A02,25ALL_D1,D1,0,Manual,DQ,Unknown,Unknown,QX200 ddPCR EvaGreen Supermix,EvaGreen,0,,,0.307230770587921,0,11474,0,11474,0,0,0,0,,,,,,,,,19000,,,,,,,,,,,,,,0,7350.57776481066,7350.57776481066,,,,,0.1403768658638,0,,,,,,,,,,,,
A03,25ALL_C1,C1,0,Manual,DQ,Unknown,Unknown,QX200 ddPCR EvaGreen Supermix,EvaGreen,0,,,0.276479989290237,0,12750,0,12750,0,0,0,0,,,,,,,,,13500,,,,,,,,,,,,,,0,6086.22315107996,6086.22315107997,,,,,0.12632742524147,0,,,,,,,,,,,,
A04,25ALL_F1,F1,0,Manual,DQ,Unknown,Unknown,QX200 ddPCR EvaGreen Supermix,EvaGreen,0,,,0.274413585662842,0,12846,0,12846,0,0,0,0,,,,,,,,,18000,,,,,,,,,,,,,,0,11938.7555419124,11938.7555419124,,,,,0.125383302569389,0,,,,,,,,,,,,
A05,33ALL_F1,F1,0.889431357383728,Manual,DQ,Unknown,Unknown,QX200 ddPCR EvaGreen Supermix,EvaGreen,17.7886276245117,,,1.6117490530014,0.424076050519943,11909,9,11900,0,0,0,0,,,,,,,,,18000,,,,,,,,,,,,,,19625.3107638889,11817.3282339811,11823.2289681124,,,,,1.22126257419586,0.624014019966125,,,,,,,,,,,,
A06,33ALL_G3,G3,52.5884475708008,Manual,DQ,Unknown,Unknown,QX200 ddPCR EvaGreen Supermix,EvaGreen,1051.76892089844,,,57.2260894775391,47.9690132141113,11346,496,10850,0,0,0,0,,,,,,,,,16000,,,,,,,,,,,,,,18990.1835543725,7309.78017591626,7820.39890284331,,,,,54.9523048400879,50.2293243408203,,,,,,,,,,,,
A07,33ALL_D1,D1,2.11785936355591,Manual,DQ,Unknown,Unknown,QX200 ddPCR EvaGreen Supermix,EvaGreen,42.3571853637695,,,3.13588404655457,1.34873187541962,12232,22,12210,0,0,0,0,,,,,,,,,19000,,,,,,,,,,,,,,21097.1114169034,6981.46772976812,7006.85557812627,,,,,2.60165119171143,1.69822025299072,,,,,,,,,,,,
A08,33ALL_C1,C1,0,Manual,DQ,Unknown,Unknown,QX200 ddPCR EvaGreen Supermix,EvaGreen,0,,,0.293737709522247,0,12001,0,12001,0,0,0,0,,,,,,,,,13500,,,,,,,,,,,,,,0,5679.70348898334,5679.70348898335,,,,,0.134212151169777,0,,,,,,,,,,,,
A09,41ALL_D1,D1,10.2523155212402,Manual,DQ,Unknown,Unknown,QX200 ddPCR EvaGreen Supermix,EvaGreen,205.046310424805,,,12.2339630126953,8.27399921417236,11871,103,11768,0,0,0,0,,,,,,,,,19000,,,,,,,,,,,,,,22058.5361233313,7184.49320045124,7313.5494232679,,,,,11.2629432678223,9.24255466461182,,,,,,,,,,,,
A10,41ALL_F1,F1,0,Manual,DQ,Unknown,Unknown,QX200 ddPCR EvaGreen Supermix,EvaGreen,0,,,0.325382441282272,0,10834,0,10834,0,0,0,0,,,,,,,,,18000,,,,,,,,,,,,,,0,11958.263014133,11958.263014133,,,,,0.14866991341114,0,,,,,,,,,,,,
A11,41ALL_C1,C1,18.1690826416016,Manual,DQ,Unknown,Unknown,QX200 ddPCR EvaGreen Supermix,EvaGreen,363.381652832031,,,20.7026252746582,15.6409826278687,12920,198,12722,0,0,0,0,,,,,,,,,13500,,,,,,,,,,,,,,16156.8497721354,5903.40493108026,6060.53976687974,,,,,19.4610233306885,16.8785572052002,,,,,,,,,,,,
A12,41ALL_G3,G3,34.2599945068359,Manual,DQ,Unknown,Unknown,QX200 ddPCR EvaGreen Supermix,EvaGreen,685.199890136719,,,38.3387413024902,30.1953372955322,9477,272,9205,0,0,0,0,,,,,,,,,16000,,,,,,,,,,,,,,19402.4283088235,7467.07684342749,7809.63415044317,,,,,36.3392219543457,32.1844367980957,,,,,,,,,,,,
B01,26ALL_G3,G3,55.9716186523438,Manual,DQ,Unknown,Unknown,QX200 ddPCR EvaGreen Supermix,EvaGreen,1119.43237304688,,,60.6893730163574,51.272705078125,11687,543,11144,0,0,0,0,,,,,,,,,16000,,,,,,,,,,,,,,18749.8865604857,6933.93326276682,7482.92467550417,,,,,58.3762702941895,53.5718688964844,,,,,,,,,,,,
B02,26ALL_D1,D1,2.09932351112366,Manual,DQ,Unknown,Unknown,QX200 ddPCR EvaGreen Supermix,EvaGreen,41.9864692687988,,,3.13567018508911,1.32153713703156,11779,21,11758,0,0,0,0,,,,,,,,,19000,,,,,,,,,,,,,,20362.3095238095,6567.16403446889,6591.75848690764,,,,,2.59110641479492,1.67425787448883,,,,,,,,,,,,
B03,26ALL_C1,C1,0.637250483036041,Manual,DQ,Unknown,Unknown,QX200 ddPCR EvaGreen Supermix,EvaGreen,12.7450094223022,,,1.30290853977203,0.2495486587286,11080,6,11074,0,0,0,0,,,,,,,,,13500,,,,,,,,,,,,,,17630.6285807292,5369.70319365215,5376.34268393396,,,,,0.936877489089966,0.409606248140335,,,,,,,,,,,,
B04,26ALL_F1,F1,0,Manual,DQ,Unknown,Unknown,QX200 ddPCR EvaGreen Supermix,EvaGreen,0,,,0.299376159906387,0,11775,0,11775,0,0,0,0,,,,,,,,,18000,,,,,,,,,,,,,,0,11251.3467275411,11251.3467275412,,,,,0.136788263916969,0,,,,,,,,,,,,
B05,34ALL_F1,F1,0,Manual,DQ,Unknown,Unknown,QX200 ddPCR EvaGreen Supermix,EvaGreen,0,,,0.285945355892181,0,12328,0,12328,0,0,0,0,,,,,,,,,18000,,,,,,,,,,,,,,0,11656.6096036937,11656.6096036937,,,,,0.130651980638504,0,,,,,,,,,,,,
B06,34ALL_G3,G3,8.35017013549805,Manual,DQ,Unknown,Unknown,QX200 ddPCR EvaGreen Supermix,EvaGreen,167.003402709961,,,10.340428352356,6.63503170013428,11170,79,11091,0,0,0,0,,,,,,,,,16000,,,,,,,,,,,,,,17657.4408623418,7635.34166770566,7706.22312127559,,,,,9.32454872131348,7.44665718078613,,,,,,,,,,,,
B07,34ALL_D1,D1,0.594277143478394,Manual,DQ,Unknown,Unknown,QX200 ddPCR EvaGreen Supermix,EvaGreen,11.8855428695679,,,1.21502292156219,0.232722774147987,11881,6,11875,0,0,0,0,,,,,,,,,19000,,,,,,,,,,,,,,20229.3333333333,7063.4929540553,7070.14180872037,,,,,0.873691082000732,0.381986677646637,,,,,,,,,,,,
B08,34ALL_C1,C1,0.295187681913376,Manual,DQ,Unknown,Unknown,QX200 ddPCR EvaGreen Supermix,EvaGreen,5.90375375747681,,,0.782507836818695,0.0700511783361435,11958,3,11955,0,0,0,0,,,,,,,,,13500,,,,,,,,,,,,,,15495.3792317708,6007.44975485872,6009.8300683251,,,,,0.505406498908997,0.153389975428581,,,,,,,,,,,,
B09,42ALL_D1,D1,1.74018049240112,Manual,DQ,Unknown,Unknown,QX200 ddPCR EvaGreen Supermix,EvaGreen,34.8036117553711,,,2.74478340148926,1.01725804805756,10825,16,10809,0,0,0,0,,,,,,,,,19000,,,,,,,,,,,,,,21091.4116210938,6590.48556225209,6611.91880169241,,,,,2.21253991127014,1.34047257900238,,,,,,,,,,,,
