Well,Sample,Target,Conc(copies/µL),Status,Experiment,SampleType,TargetType,Supermix,DyeName(s),Copies/20µLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Accepted Droplets,Positives,Negatives,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Linkage,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Threshold1,Threshold2,Threshold3,ReferenceUsed,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,Fractional Abundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,MeanAmplitudeOfPositives,MeanAmplitudeOfNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfidenceMax68,TotalConfidenceMin68,PoissonConfidenceMax68,PoissonConfidenceMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68
A01,141ALL_G3,G3,32.1567459106445,Manual,DQ,Unknown,Unknown,QX200 ddPCR EvaGreen Supermix,EvaGreen,643.134887695313,,,35.6910095214844,28.6330718994141,11831,319,11512,0,0,0,0,,,,,,,,,16000,,,,,,,,,,,,,,18658.8149276303,7133.61829966319,7444.37290403487,,,,,33.9586143493652,30.3576354980469,,,,,,,,,,,,
A02,141ALL_D1,D1,1.74001967906952,Manual,DQ,Unknown,Unknown,QX200 ddPCR EvaGreen Supermix,EvaGreen,34.8003921508789,,,2.74452948570251,1.0171639919281,10826,16,10810,0,0,0,0,,,,,,,,,19000,,,,,,,,,,,,,,20314.5570068359,7917.48735811726,7935.80927889866,,,,,2.21233534812927,1.34034872055054,,,,,,,,,,,,
A03,141ALL_C1,C1,1.25389897823334,Manual,DQ,Unknown,Unknown,QX200 ddPCR EvaGreen Supermix,EvaGreen,25.0779800415039,,,2.11076688766479,0.668057322502136,11265,12,11253,0,0,0,0,,,,,,,,,13500,,,,,,,,,,,,,,15564.2780761719,6208.91392963612,6218.87969703589,,,,,1.65239608287811,0.925352811813354,,,,,,,,,,,,
A04,141ALL_F1,F1,0.743693888187408,Manual,DQ,Unknown,Unknown,QX200 ddPCR EvaGreen Supermix,EvaGreen,14.8738775253296,,,1.4487247467041,0.315906226634979,11077,7,11070,0,0,0,0,,,,,,,,,18000,,,,,,,,,,,,,,19219.4645647321,12691.670179397,12695.7953541463,,,,,1.06383955478668,0.495354115962982,,,,,,,,,,,,
A05,149ALL_F1,F1,0.106675483286381,Manual,DQ,Unknown,Unknown,QX200 ddPCR EvaGreen Supermix,EvaGreen,2.13350963592529,,,0.509569346904755,0.00448017567396164,11029,1,11028,0,0,0,0,,,,,,,,,18000,,,,,,,,,,,,,,18895.060546875,12435.5944631173,12436.180143241,,,,,0.265533208847046,0.0289080999791622,,,,,,,,,,,,
A06,149ALL_G3,G3,7.74947834014893,Manual,DQ,Unknown,Unknown,QX200 ddPCR EvaGreen Supermix,EvaGreen,154.989562988281,,,9.76715183258057,6.03255987167358,10205,67,10138,0,0,0,0,,,,,,,,,16000,,,,,,,,,,,,,,18804.1410185401,7680.75879190414,7753.78834694428,,,,,8.7344217300415,6.84200286865234,,,,,,,,,,,,
A07,149ALL_D1,D1,1.07445693016052,Manual,DQ,Unknown,Unknown,QX200 ddPCR EvaGreen Supermix,EvaGreen,21.4891395568848,,,1.94716048240662,0.512274146080017,9859,9,9850,0,0,0,0,,,,,,,,,19000,,,,,,,,,,,,,,21647.38671875,7964.21616532534,7976.70714158873,,,,,1.47536134719849,0.753807902336121,,,,,,,,,,,,
A08,149ALL_C1,C1,0.208760648965836,Manual,DQ,Unknown,Unknown,QX200 ddPCR EvaGreen Supermix,EvaGreen,4.17521286010742,,,0.668791115283966,0.0316248536109924,11272,2,11270,0,0,0,0,,,,,,,,,13500,,,,,,,,,,,,,,15086.48046875,6337.31016916107,6338.86254146404,,,,,0.401375204324722,0.0905975624918938,,,,,,,,,,,,
A09,157ALL_D1,D1,1.61881077289581,Manual,DQ,Unknown,Unknown,QX200 ddPCR EvaGreen Supermix,EvaGreen,32.3762168884277,,,3.03284239768982,0.732640624046326,5818,8,5810,0,0,0,0,,,,,,,,,19000,,,,,,,,,,,,,,24409.6977539063,9098.15049249908,9119.20452792215,,,,,2.26473069190979,1.10945475101471,,,,,,,,,,,,
A10,157ALL_F1,F1,0.219798341393471,Manual,DQ,Unknown,Unknown,QX200 ddPCR EvaGreen Supermix,EvaGreen,4.39596700668335,,,0.704159021377563,0.0332968086004257,10706,2,10704,0,0,0,0,,,,,,,,,18000,,,,,,,,,,,,,,23979.80078125,12457.8227720617,12459.9752058389,,,,,0.422598719596863,0.0953874289989471,,,,,,,,,,,,
