Plate,Well,Sample,Day,Temp,Symbiont,Pot,Replicate,Box,Number,Primer,Info,ALL.number,ul.DNA,BACKUP.NUMBER
17,A01,171ALL_C1,3,27,ALL,1,F,K,38,C1,ALL,171,4,B
17,A02,171ALL_D1,3,27,ALL,1,F,K,38,D1,ALL,171,4,B
17,A03,171ALL_F1,3,27,ALL,1,F,K,38,F1,ALL,171,4,B
17,A04,171ALL_G3,3,27,ALL,1,F,K,38,G3,ALL,171,4,B
17,A05,171ALL_G3,3,30,ALL,2,H,M,12,G3,ALL,179,4,B
17,A06,179ALL_D1,3,30,ALL,2,H,M,12,D1,ALL,179,4,B
17,A07,179ALL_C1,3,30,ALL,2,H,M,12,C1,ALL,179,4,B
17,A08,179ALL_F1,3,30,ALL,2,H,M,12,F1,ALL,179,4,B
17,A09,187ALL_F1,3,31,ALL,2,D,M,25,F1,ALL,187,4,B
17,A10,187ALL_G3,3,31,ALL,2,D,M,25,G3,ALL,187,4,B
17,A11,187ALL_D1,3,31,ALL,2,D,M,25,D1,ALL,187,4,B
17,A12,187ALL_C1,3,31,ALL,2,D,M,25,C1,ALL,187,4,B
17,B01,172ALL_C1,3,27,ALL,2,J,K,45,C1,ALL,172,4,B
17,B02,172ALL_D1,3,27,ALL,2,J,K,45,D1,ALL,172,4,B
17,B03,172ALL_F1,3,27,ALL,2,J,K,45,F1,ALL,172,4,B
17,B04,172ALL_G3,3,27,ALL,2,J,K,45,G3,ALL,172,4,B
17,B05,180ALL_G3,3,30,ALL,1,D,M,5,G3,ALL,180,4,B
17,B06,180ALL_D1,3,30,ALL,1,D,M,5,D1,ALL,180,4,B
17,B07,180ALL_C1,3,30,ALL,1,D,M,5,C1,ALL,180,4,B
17,B08,180ALL_F1,3,30,ALL,1,D,M,5,F1,ALL,180,4,B
17,B09,188ALL_F1,3,31,ALL,2,J,M,28,F1,ALL,188,4,B
17,B10,188ALL_G3,3,31,ALL,2,J,M,28,G3,ALL,188,4,B
17,B11,188ALL_D1,3,31,ALL,2,J,M,28,D1,ALL,188,4,B
17,B12,188ALL_C1,3,31,ALL,2,J,M,28,C1,ALL,188,4,B
17,C01,173ALL_C1,3,27,ALL,3,D,K,47,C1,ALL,173,4,B
17,C02,173ALL_D1,3,27,ALL,3,D,K,47,D1,ALL,173,4,B
17,C03,173ALL_F1,3,27,ALL,3,D,K,47,F1,ALL,173,4,B
17,C04,173ALL_G3,3,27,ALL,3,D,K,47,G3,ALL,173,4,B
17,C05,181ALL_G3,3,30,ALL,2,C,N,10,G3,ALL,181,4,B
17,C06,181ALL_D1,3,30,ALL,3,C,N,10,D1,ALL,181,4,B
17,C07,181ALL_C1,3,30,ALL,4,C,N,10,C1,ALL,181,4,B
17,C08,181ALL_F1,3,30,ALL,5,C,N,10,F1,ALL,181,4,B
17,C09,189ALL_F1,3,31,ALL,3,E,N,31,F1,ALL,189,4,B
17,C10,189ALL_G3,3,31,ALL,3,E,N,31,G3,ALL,189,4,B
17,C11,189ALL_D1,3,31,ALL,3,E,N,31,D1,ALL,189,4,B
17,C12,189ALL_C1,3,31,ALL,3,E,N,31,C1,ALL,189,4,B
17,D01,174ALL_C1,3,27,ALL,2,B,K,36,C1,ALL,174,4,B
17,D02,174ALL_D1,3,27,ALL,2,B,K,36,D1,ALL,174,4,B
17,D03,174ALL_F1,3,27,ALL,2,B,K,36,F1,ALL,174,4,B
17,D04,174ALL_G3,3,27,ALL,2,B,K,36,G3,ALL,174,4,B
17,D05,182ALL_G3,3,30,ALL,1,F,M,6,G3,ALL,182,4,B
17,D06,182ALL_D1,3,30,ALL,1,F,M,6,D1,ALL,182,4,B
17,D07,182ALL_C1,3,30,ALL,1,F,M,6,C1,ALL,182,4,B
17,D08,182ALL_F1,3,30,ALL,1,F,M,6,F1,ALL,182,4,B
17,D09,190ALL_F1,3,31,ALL,3,G,N,32,F1,ALL,190,4,B
17,D10,190ALL_G3,3,31,ALL,3,G,N,32,G3,ALL,190,4,B
17,D11,190ALL_D1,3,31,ALL,3,G,N,32,D1,ALL,190,4,B
17,D12,190ALL_C1,3,31,ALL,3,G,N,32,C1,ALL,190,4,B
17,E01,175ALL_C1,3,27,ALL,1,A,L,36,C1,ALL,175,4,B
17,E02,175ALL_D1,3,27,ALL,1,A,L,36,D1,ALL,175,4,B
17,E03,175ALL_F1,3,27,ALL,1,A,L,36,F1,ALL,175,4,B
17,E04,175ALL_G3,3,27,ALL,1,A,L,36,G3,ALL,175,4,B
17,E05,183ALL_G3,3,30,ALL,1,H,M,7,G3,ALL,183,4,B
17,E06,183ALL_D1,3,30,ALL,2,H,M,7,D1,ALL,183,4,B
17,E07,183ALL_C1,3,30,ALL,3,H,M,7,C1,ALL,183,4,B
17,E08,183ALL_F1,3,30,ALL,4,H,M,7,F1,ALL,183,4,B
17,E09,191ALL_F1,3,31,ALL,1,G,N,22,F1,ALL,191,4,B
17,E10,191ALL_G3,3,31,ALL,1,A,N,22,G3,ALL,191,4,B
17,E11,191ALL_D1,3,31,ALL,1,A,N,22,D1,ALL,191,4,B
17,E12,191ALL_C1,3,31,ALL,1,A,N,22,C1,ALL,191,4,B
17,F01,176ALL_C1,7,30,ALL,1,A,K,4,C1,ALL,176,4,
17,F02,176ALL_D1,7,30,ALL,1,A,K,4,D1,ALL,176,4,
17,F03,176ALL_F1,7,30,ALL,1,A,K,4,F1,ALL,176,4,
17,F04,176ALL_G3,7,30,ALL,1,A,K,4,G3,ALL,176,4,
17,F05,184ALL_G3,3,30,ALL,2,D,M,10,G3,ALL,184,4,B
17,F06,184ALL_D1,3,30,ALL,3,D,M,10,D1,ALL,184,4,B
17,F07,184ALL_C1,3,30,ALL,4,D,M,10,C1,ALL,184,4,B
17,F08,184ALL_F1,3,30,ALL,5,D,M,10,F1,ALL,184,4,B
17,F09,192ALL_F1,3,31,ALL,1,F,N,23,F1,ALL,192,4,B
17,F10,192ALL_G3,3,31,ALL,1,F,N,23,G3,ALL,192,4,B
17,F11,192ALL_D1,3,31,ALL,1,F,N,23,D1,ALL,192,4,B
17,F12,192ALL_C1,3,31,ALL,1,F,N,23,C1,ALL,192,4,B
17,G01,177ALL_C1,3,31,ALL,1,F,M,3,C1,ALL,177,4,B
17,G02,177ALL_D1,3,31,ALL,1,F,M,3,D1,ALL,177,4,B
17,G03,177ALL_F1,3,31,ALL,1,F,M,3,F1,ALL,177,4,B
17,G04,177ALL_G3,3,31,ALL,1,F,M,3,G3,ALL,177,4,B
17,G05,185ALL_G3,3,30,ALL,2,F,N,13,G3,ALL,185,4,B
17,G06,185ALL_D1,3,30,ALL,2,F,N,13,D1,ALL,185,4,B
17,G07,185ALL_C1,3,30,ALL,2,F,N,13,C1,ALL,185,4,B
17,G08,185ALL_F1,3,30,ALL,2,F,N,13,F1,ALL,185,4,B
17,G09,193ALL_F1,3,31,ALL,1,C,M,20,F1,ALL,193,4,B
17,G10,193ALL_G3,3,31,ALL,1,C,M,20,G3,ALL,193,4,B
17,G11,193ALL_D1,3,31,ALL,1,C,M,20,D1,ALL,193,4,B
17,G12,193ALL_C1,3,31,ALL,1,C,M,20,C1,ALL,193,4,B
17,H01,178ALL_C1,3,27,ALL,1,H,K,39,C1,ALL,178,4,B
17,H02,178ALL_D1,3,27,ALL,1,H,K,39,D1,ALL,178,4,B
17,H03,178ALL_F1,3,27,ALL,1,H,K,39,F1,ALL,178,4,B
17,H04,178ALL_G3,3,27,ALL,1,H,K,39,G3,ALL,178,4,B
17,H05,186ALL_G3,3,30,ALL,2,F,M,11,G3,ALL,186,4,B
17,H06,186ALL_D1,3,30,ALL,2,F,M,11,D1,ALL,186,4,B
17,H07,186ALL_C1,3,30,ALL,2,F,M,11,C1,ALL,186,4,B
17,H08,186ALL_F1,3,30,ALL,2,F,M,11,F1,ALL,186,4,B
17,H09,NTC_F1,,,,,,NTC,,F1,NTC,,4,
17,H10,NTC_G3,,,,,,NTC,,G3,NTC,,4,
17,H11,NTC_D1,,,,,,NTC,,D1,NTC,,4,
17,H12,NTC_C1,,,,,,NTC,,C1,NTC,,4,
