Well,Sample,Target,Conc(copies/µL),Status,Experiment,SampleType,TargetType,Supermix,DyeName(s),Copies/20µLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Accepted Droplets,Positives,Negatives,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Linkage,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Threshold1,Threshold2,Threshold3,ReferenceUsed,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,Fractional Abundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,MeanAmplitudeOfPositives,MeanAmplitudeOfNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfidenceMax68,TotalConfidenceMin68,PoissonConfidenceMax68,PoissonConfidenceMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68
A01,1ALL_C1,C1,0.307399899,Manual,DQ,Unknown,Unknown,QX200 ddPCR EvaGreen Supermix,EvaGreen,6.147997856,,,0.814887941,0.07294897,11483,3,11480,0,0,0,0,,,,,,,,,13500,,,,,,,,,,,,,,14656.74805,6556.843985,6558.960132,,,,,0.526317596,0.159735441,,,,,,,,,,,,
A02,1ALL_D1,D1,0.511575699,Manual,DQ,Unknown,Unknown,QX200 ddPCR EvaGreen Supermix,EvaGreen,10.23151398,,,1.111937642,0.179844648,11501,5,11496,0,0,0,0,,,,,,,,,19000,,,,,,,,,,,,,,21202.62656,8062.941084,8068.653494,,,,,0.779218376,0.313671827,,,,,,,,,,,,
A03,1ALL_F1,F1,0.40355736,Manual,DQ,Unknown,Unknown,QX200 ddPCR EvaGreen Supermix,EvaGreen,8.071146965,,,0.951709032,0.121758856,11663,4,11659,0,0,0,0,,,,,,,,,18000,,,,,,,,,,,,,,19559.2832,12653.62979,12655.99819,,,,,0.644648075,0.231725872,,,,,,,,,,,,
A04,1ALL_G3,G3,4.689618587,Manual,DQ,Unknown,Unknown,QX200 ddPCR EvaGreen Supermix,EvaGreen,93.79237366,,,6.134529591,3.49246788,12317,49,12268,0,0,0,0,,,,,,,,,16000,,,,,,,,,,,,,,19305.27372,7660.909311,7707.233404,,,,,5.390646458,4.052456379,,,,,,,,,,,,
A05,9ALL_C1,C1,0.514574051,Manual,DQ,Unknown,Unknown,QX200 ddPCR EvaGreen Supermix,EvaGreen,10.29148102,,,1.118456244,0.180898577,11434,5,11429,0,0,0,0,,,,,,,,,13500,,,,,,,,,,,,,,16148.2293,7146.125375,7150.061926,,,,,0.78378588,0.315510094,,,,,,,,,,,,
A06,9ALL_D1,D1,3.098270178,Manual,DQ,Unknown,Unknown,QX200 ddPCR EvaGreen Supermix,EvaGreen,61.96540451,,,4.304831505,2.141970634,12167,32,12135,0,0,0,0,,,,,,,,,19000,,,,,,,,,,,,,,21080.34528,8533.431392,8566.43059,,,,,3.677874565,2.583198547,,,,,,,,,,,,
A07,9ALL_F1,F1,0.10683047,Manual,DQ,Unknown,Unknown,QX200 ddPCR EvaGreen Supermix,EvaGreen,2.136609316,,,0.510309875,0.004486685,11013,1,11012,0,0,0,0,,,,,,,,,18000,,,,,,,,,,,,,,22385.67188,12848.64788,12849.51386,,,,,0.26591903,0.028950101,,,,,,,,,,,,
A08,9ALL_G3,G3,17.19120216,Manual,DQ,Unknown,Unknown,QX200 ddPCR EvaGreen Supermix,EvaGreen,343.8240356,,,19.77075386,14.61729527,11788,171,11617,0,0,0,0,,,,,,,,,16000,,,,,,,,,,,,,,18844.73678,8273.889662,8427.233304,,,,,18.5065937,15.87728024,,,,,,,,,,,,
A09,17ALL_C1,C1,0,Manual,DQ,Unknown,Unknown,QX200 ddPCR EvaGreen Supermix,EvaGreen,0,,,0.329951346,0,10684,0,10684,0,0,0,0,,,,,,,,,13500,,,,,,,,,,,,,,0,6671.654235,6671.654235,,,,,0.150757328,0,,,,,,,,,,,,
A10,17ALL_D1,D1,1.059088349,Manual,DQ,Unknown,Unknown,QX200 ddPCR EvaGreen Supermix,EvaGreen,21.18176651,,,2.165794849,0.414696038,6668,6,6662,0,0,0,0,,,,,,,,,19000,,,,,,,,,,,,,,21213.8724,8026.246346,8038.112836,,,,,1.557189465,0.680707872,,,,,,,,,,,,
A11,17ALL_F1,F1,1.352324963,Manual,DQ,Unknown,Unknown,QX200 ddPCR EvaGreen Supermix,EvaGreen,27.04649925,,,2.233732939,0.740569413,11316,13,11303,0,0,0,0,,,,,,,,,18000,,,,,,,,,,,,,,20010.08969,12657.41582,12665.86269,,,,,1.763635993,1.010664105,,,,,,,,,,,,
A12,17ALL_G3,G3,138.3056183,Manual,DQ,Unknown,Unknown,QX200 ddPCR EvaGreen Supermix,EvaGreen,2766.112305,,,145.6673279,130.9896851,12316,1366,10950,0,0,0,0,,,,,,,,,16000,,,,,,,,,,,,,,19201.06383,7933.38857,9183.116112,,,,,142.0558319,134.5673065,,,,,,,,,,,,
