Plate,Well,Sample,Day,Temp,Symbiont,Pot,Replicate,Box,Number,Primer,Info,ALL.number,ul.DNA,BACKUP.NUMBER
2,A01,D1A_1,,,D1,,,,,D1,CopyNumber,,4,
2,A02,D1B_4,,,D1,,,,,D1,CopyNumber,,4,
2,A03,CONTROL_27C_1A_D3_DACT,3,27,APO,1,A,C,45,D1,CONTROL,,4,
2,A04,CONTROL_27C_1A_D3_DACT,3,27,APO,1,A,C,45,D1,CONTROL,,4,
2,A05,CONTROL_31C_1A_D14_DACT,14,31,APO,1,A,O,32,D1,CONTROL,,4,
2,A06,CONTROL_30C_1D_D3_DACT,14,31,APO,1,A,,,D1,CONTROL,,4,
2,A07,G3A_1,,,,,,,,G3,CopyNumber,,4,
2,A08,G3B_4,,,,,,,,G3,CopyNumber,,4,
2,A09,CONTROL_27C_1A_D3_G3ITS2,3,27,APO,1,A,C,45,G3,CONTROL,,4,
2,A10,CONTROL_27C_1A_D3_G3ITS2,3,27,APO,1,A,C,45,G3,CONTROL,,4,
2,A11,CONTROL_31C_1D_D3_G3ITS,14,31,APO,1,A,O,32,G3,CONTROL,,4,
2,A12,CONTROL_31C_1D_D3_G3ITS,14,31,APO,1,A,O,32,G3,CONTROL,,4,
2,B01,D1A_2,,,,,,,,D1,CopyNumber,,4,
2,B02,D2B_5,,,,,,,,D1,CopyNumber,,4,
2,B03,CONTROL_30C_1A_D3_DACT,3,30,APO,1,A,J,41,D1,CONTROL,,4,
2,B04,CONTROL_30C_1A_D3_DACT,3,30,APO,1,A,J,41,D1,CONTROL,,4,
2,B05,D1_27C_1A_D7,7,27,D1,1,A,A,10,D1,D1,,4,
2,B06,D1_30C_1B_D7,7,30,D1,1,B,I,41,D1,D1,,4,
2,B07,G3A_2,,,,,,,,G3,CopyNumber,,4,
2,B08,G3B_5,,,,,,,,G3,CopyNumber,,4,
2,B09,CONTROL_30C_1A_D3_G3ITS2,3,30,APO,1,A,J,41,G3,CONTROL,,4,
2,B10,CONTROL_30C_1A_D3_G3ITS2,3,30,APO,1,A,J,41,G3,CONTROL,,4,
2,B11,G3_30C_1A_D7,7,30,G3,1,A,B,34,G3,G3,,4,
2,B12,G3_10C_1B_D7,7,31,G3,1,B,L,27,G3,G3,,4,
2,C01,D1A_3,,,,,,,,D1,CopyNumber,,4,
2,C02,D1C_1,,,,,,,,D1,CopyNumber,,4,
2,C03,CONTROL_31C_1A_D3_DACT,3,31,APO,1,A,O,5,D1,CONTROL,,4,
2,C04,CONTROL_31C_1A_D3_DACT,3,31,APO,1,A,O,5,D1,CONTROL,,4,
2,C05,D1_27C_1B_D7,7,27,D1,1,B,I,7,D1,D1,,4,
2,C06,D1_30C_1B_D7,7,30,D1,2,A,B,29,D1,D1,,4,
2,C07,G3A_3,,,,,,,,G3,CopyNumber,,4,
2,C08,G3C_1,,,,,,,,G3,CopyNumber,,4,
2,C09,CONTROL_31C_1A_D3_G3ITS2,3,31,APO,1,A,O,5,G3,CONTROL,,4,
2,C10,CONTROL_31C_D3_1A,3,31,APO,1,A,O,,G3,CONTROL,,4,
2,C11,G3_30C_1B_D7,7,30,G3,1,B,L,7,G3,G3,,4,
2,C12,G3_31C_1C_D7,7,31,G3,1,C,K,27,G3,G3,,4,
2,D01,D1A_4,,,,,,,,D1,CopyNumber,,4,
2,D02,D1C_2,,,,,,,,D1,CopyNumber,,4,
2,D03,CONTROL_27C_1A_D7_DACT,7,27,APO,1,A,H,32,D1,CONTROL,,4,
2,D04,CONTROL_27C_1A_D7_DACT,7,27,APO,1,A,H,32,D1,CONTROL,,4,
2,D05,D1_27C_2A_D7,7,27,D1,2,A,A,11,D1,D1,,4,
2,D06,D1_30C_2B_D7,7,30,D1,2,B,H,42,D1,D1,,4,
2,D07,G3A_4,,,,,,,,G3,CopyNumber,,4,
2,D08,G3C_2,,,,,,,,G3,CopyNumber,,4,
2,D09,CONTROL_27C_1A_D7_G3ITS2,7,27,APO,1,A,H,32,G3,CONTROL,,4,
2,D10,CONTROL_27C_1A_D7_G3ITS2,7,27,APO,1,A,H,32,G3,CONTROL,,4,
2,D11,G3_30C_12C_D7,7,30,G3,2,C,K,9,G3,G3,,4,
2,D12,G3_31C_2A_D7,7,31,G3,2,A,B,47,G3,G3,,4,
2,E01,D1A_5,,,,,,,,D1,CopyNumber,,4,
2,E02,D1C_3,,,,,,,,D1,CopyNumber,,4,
2,E03,CONTROL_30C_1D_D3_DACT,7,30,APO,1,D,J,44,D1,CONTROL,,4,
2,E04,CONTROL_30C_1D_D3_DACT,7,30,APO,1,D,J,44,D1,CONTROL,,4,
2,E05,D1_27C_2B_D7,7,27,D1,2,B,I,9,D1,D1,,4,
2,E06,D1_30C_3A_D7,7,30,D1,3,A,B,30,D1,D1,,4,
2,E07,G3A_5,,,,,,,,G3,CopyNumber,,4,
2,E08,G3C_3,,,,,,,,G3,CopyNumber,,4,
2,E09,CONTROL_30C_1D_D3_G3ITS2,7,30,APO,1,D,J,44,G3,CONTROL,,4,
2,E10,CONTROL_30C_1D_D3_G3ITS2,7,30,APO,1,D,J,44,G3,CONTROL,,4,
2,E11,G3_30C_12D_D7,7,30,G3,2,D,L,10,G3,G3,,4,
2,E12,G3_31C_1A_D7,7,31,G3,3,A,C,2,G3,G3,,4,
2,F01,D1B_1,,,,,,,,D1,CopyNumber,,4,
2,F02,D1C_4,,,,,,,,D1,CopyNumber,,4,
2,F03,CONTROL_31C_1A_D7_DACT,7,31,APO,1,A,J,6,D1,CONTROL,,4,
2,F04,CONTROL_31C_1A_D7_DACT,7,31,APO,1,A,J,6,D1,CONTROL,,4,
2,F05,D1_27C_3A_D7,7,27,D1,3,A,A,12,D1,D1,,4,
2,F06,D1_30C_3B_D7,7,30,D1,3,B,H,44,D1,D1,,4,
2,F07,G3B_1,,,,,,,,G3,CopyNumber,,4,
2,F08,G3C_4,,,,,,,,G3,CopyNumber,,4,
2,F09,CONTROL_31C_1A_D7_G3ITS2,7,31,APO,1,A,J,6,G3,CONTROL,,4,
2,F10,CONTROL_31C_1A_D7_G3ITS2,7,31,APO,1,A,J,6,G3,CONTROL,,4,
2,F11,G3_30C_3B_D7,7,30,G3,3,B,L,11,G3,G3,,4,
2,F12,G3_31C_3B_D7,7,31,G3,3,B,L,29,G3,G3,,4,
2,G01,D1B_2,,,,,,,,D1,CopyNumber,,4,
2,G02,D1C_5,,,,,,,,D1,CopyNumber,,4,
2,G03,CONTROL_27C_1B_D14_DACT,14,27,APO,1,B,O,21,D1,CONTROL,,4,
2,G04,CONTROL_27C_1B_D14_DACT,14,27,APO,1,B,O,21,D1,CONTROL,,4,
2,G05,D1_27C_3B_D7,7,27,D1,3,B,I,11,D1,D1,,4,
2,G06,D1_31C_3A_D7,7,31,D1,3,A,B,42,D1,D1,,4,
2,G07,G3B_2,,,,,,,,G3,CopyNumber,,4,
2,G08,G3C_5,,,,,,,,G3,CopyNumber,,4,
2,G09,CONTROL_27C_1B_D14_G3ITS2,14,27,APO,1,B,O,21,G3,CONTROL,,4,
2,G10,CONTROL_27C_1B_D14_G3ITS2,14,27,APO,1,B,O,21,G3,CONTROL,,4,
2,G11,G3_30C_3C_D7,7,30,G3,3,C,K,11,G3,G3,,4,
2,G12,G3_27C_1A_D7,14,27,G3,1,A,C,12,G3,G3,,4,
2,H01,D1B_3,,,,,,,,D1,CopyNumber,,4,
2,H02,NTC_D1,,,,,,,,D1,NTC,,4,
2,H03,CONTROL_30C_1D_D3_DACT,14,30,APO,1,D,P,6,D1,CONTROL,,4,
2,H04,CONTROL_30C_1D_D3_DACT,14,30,APO,1,D,P,6,D1,CONTROL,,4,
2,H05,D1_27C_1A_D7,7,30,D1,1,A,B,28,D1,D1,,4,
2,H06,D1_31C_3B_D7,7,31,D1,3,B,L,24,D1,D1,,4,
2,H07,G3B_3,,,,,,,,G3,CopyNumber,,4,
2,H08,DELETE_ERROR,,,,,,,,,,,,
2,H09,CONTROL_30C_1D_D3_G3ITS2,14,30,APO,1,D,P,6,G3,CONTROL,,4,
2,H10,CONTROL_30C_1D_D3_G3ITS2,14,30,APO,1,D,P,6,G3,CONTROL,,4,
2,H11,G3_31C_1A_D7,7,31,G3,1,A,B,46,G3,G3,,4,
2,H12,NTC_G3,,,,,,,,,NTC,,4,
