Plate,Well,Sample,Day,Temp,Symbiont,Pot,Replicate,Box,Number,Primer,Info,ALL.number,ul.DNA,BACKUP.NUMBER
18,D01,194ALL_C1,3,31,ALL,1,F,M,21,C1,ALL,194,4,
18,D02,194ALL_D1,3,31,ALL,1,F,M,21,D1,ALL,194,4,
18,D03,194ALL_F1,3,31,ALL,1,F,M,21,F1,ALL,194,4,
18,D04,194ALL_G3,3,31,ALL,1,F,M,21,G3,ALL,194,4,
18,E01,195ALL_C1,7,30,ALL,3,D,B,283,C1,ALL,195,4,
18,E02,195ALL_D1,7,30,ALL,3,D,B,283,D1,ALL,195,4,
18,E03,195ALL_F1,7,30,ALL,3,D,B,283,F1,ALL,195,4,
18,E04,195ALL_G3,7,30,ALL,3,D,B,283,G3,ALL,195,4,
18,F01,196ALL_C1,7,30,ALL,1,D,M,43,C1,ALL,196,4,
18,F02,196ALL_D1,7,30,ALL,1,D,M,43,D1,ALL,196,4,
18,F03,196ALL_F1,7,30,ALL,1,D,M,43,F1,ALL,196,4,
18,F04,196ALL_G3,7,30,ALL,1,D,M,43,G3,ALL,196,4,
18,G01,197ALL_C1,7,30,ALL,3,B,M,47,C1,ALL,197,4,
18,G02,197ALL_D1,7,30,ALL,3,B,M,47,D1,ALL,197,4,
18,G03,197ALL_F1,7,30,ALL,3,B,M,47,F1,ALL,197,4,
18,G04,197ALL_G3,7,30,ALL,3,B,M,47,G3,ALL,197,4,
18,H01,198ALL_C1,7,30,ALL,3,C,B,282,C1,ALL,198,4,
18,H02,198ALL_D1,7,30,ALL,3,C,B,282,D1,ALL,198,4,
18,H03,198ALL_F1,7,30,ALL,3,C,B,282,F1,ALL,198,4,
18,H04,198ALL_G3,7,30,ALL,3,C,B,282,G3,ALL,198,4,
18,A05,199ALL_C1,7,30,ALL,1,E,N,44,C1,ALL,199,4,
18,A06,199ALL_D1,7,30,ALL,1,E,N,44,D1,ALL,199,4,
18,A07,199ALL_F1,7,30,ALL,1,E,N,44,F1,ALL,199,4,
18,A08,199ALL_G3,7,30,ALL,1,E,N,44,G3,ALL,199,4,
18,B05,200ALL_C1,7,30,ALL,3,E,B,284,C1,ALL,200,4,
18,B06,200ALL_D1,7,30,ALL,3,E,B,284,D1,ALL,200,4,
18,B07,200ALL_F1,7,30,ALL,3,E,B,284,F1,ALL,200,4,
18,B08,200ALL_G3,7,30,ALL,3,E,B,284,G3,ALL,200,4,
18,C05,201ALL_C1,7,27,ALL,3,D,M,41,C1,ALL,201,4,
18,C06,201ALL_D1,7,27,ALL,3,D,M,41,D1,ALL,201,4,
18,C07,201ALL_F1,7,27,ALL,3,D,M,41,F1,ALL,201,4,
18,C08,201ALL_G3,7,27,ALL,3,D,M,41,G3,ALL,201,4,
18,D05,202ALL_C1,7,27,ALL,3,E,N,39,C1,ALL,202,4,
18,D06,202ALL_D1,7,27,ALL,3,E,N,39,D1,ALL,202,4,
18,D07,202ALL_F1,7,27,ALL,3,E,N,39,F1,ALL,202,4,
18,D08,202ALL_G3,7,27,ALL,3,E,N,39,G3,ALL,202,4,
18,E05,203ALL_C1,3,31,ALL,3,J,M,35,C1,ALL,203,4,
18,E06,203ALL_D1,3,31,ALL,3,J,M,35,D1,ALL,203,4,
18,E07,203ALL_F1,3,31,ALL,3,J,M,35,F1,ALL,203,4,
18,E08,203ALL_G3,3,31,ALL,3,J,M,35,G3,ALL,203,4,
18,F05,204ALL_C1,3,27,ALL,2,B,K,41,C1,ALL,204,4,
18,F06,204ALL_D1,3,27,ALL,2,B,K,41,D1,ALL,204,4,
18,F07,204ALL_F1,3,27,ALL,2,B,K,41,F1,ALL,204,4,
18,F08,204ALL_G3,3,27,ALL,2,B,K,41,G3,ALL,204,4,
18,G05,205ALL_C1,3,30,ALL,2,E,N,11,C1,ALL,205,4,
18,G06,205ALL_D1,3,30,ALL,2,E,N,11,D1,ALL,205,4,
18,G07,205ALL_F1,3,30,ALL,2,E,N,11,F1,ALL,205,4,
18,G08,205ALL_G3,3,30,ALL,2,E,N,11,G3,ALL,205,4,
18,H05,206ALL_C1,3,31,ALL,3,D,M,32,C1,ALL,206,4,
18,H06,206ALL_D1,3,31,ALL,3,D,M,32,D1,ALL,206,4,
18,H07,206ALL_F1,3,31,ALL,3,D,M,32,F1,ALL,206,4,
18,H08,206ALL_G3,3,31,ALL,3,D,M,32,G3,ALL,206,4,
18,A09,207ALL_C1,3,27,ALL,2,H,K,44,C1,ALL,207,4,
18,A10,207ALL_d1,3,27,ALL,2,H,K,44,D1,ALL,207,4,
18,A11,207ALL_F1,3,27,ALL,2,H,K,44,F1,ALL,207,4,
18,A12,207ALL_G3,3,27,ALL,2,H,K,44,G3,ALL,207,4,
18,B09,208ALL_C1,7,30,ALL,3,H,M,17,C1,ALL,208,4,
18,B10,208ALL_D1,7,30,ALL,3,H,M,17,D1,ALL,208,4,
18,B11,208ALL_F1,7,30,ALL,3,H,M,17,F1,ALL,208,4,
18,B12,208ALL_G3,7,30,ALL,3,H,M,17,G3,ALL,208,4,
18,C09,209ALL_C1,3,31,ALL,1,E,N,21,C1,ALL,209,4,
18,C10,209ALL_D1,3,31,ALL,1,E,N,21,D1,ALL,209,4,
18,C11,209ALL_F1,3,31,ALL,1,E,N,21,F1,ALL,209,4,
18,C12,209ALL_G3,3,31,ALL,1,E,N,21,G3,ALL,209,4,
18,D09,210ALL_C1,3,27,ALL,2,I,L,45,C1,ALL,210,4,
18,D10,210ALL_D1,3,27,ALL,2,I,L,45,D1,ALL,210,4,
18,D11,210ALL_F1,3,27,ALL,2,I,L,45,F1,ALL,210,4,
18,D12,210ALL_G3,3,27,ALL,2,I,L,45,G3,ALL,210,4,
18,E09,211ALL_C1,3,30,ALL,3,F,M,16,C1,ALL,211,4,
18,E10,211ALL_D1,3,30,ALL,3,F,M,16,D1,ALL,211,4,
18,E11,211ALL_F1,3,30,ALL,3,F,M,16,F1,ALL,211,4,
18,E12,211ALL_G3,3,30,ALL,3,F,M,16,G3,ALL,211,4,
18,F09,212ALL_C1,3,31,ALL,2,D,M,26,C1,ALL,212,4,
18,F10,212ALL_D1,3,31,ALL,2,D,M,26,D1,ALL,212,4,
18,F11,212ALL_F1,3,31,ALL,2,D,M,26,F1,ALL,212,4,
18,F12,212ALL_G3,3,31,ALL,2,D,M,26,G3,ALL,212,4,
18,G09,213ALL_C1,3,27,ALL,3,E,N,2,C1,ALL,213,4,
18,G10,213ALL_D1,3,27,ALL,3,E,N,2,D1,ALL,213,4,
18,G11,213ALL_F1,3,27,ALL,3,E,N,2,F1,ALL,213,4,
18,G12,213ALL_G3,3,27,ALL,3,E,N,2,G3,ALL,213,4,
18,A01,D1_30C_D7_13,7,30,D1,1,E,I,43,D1,D1,,4,
18,A03,G3_27C_D14_1D,14,27,G3,1,D,F,36,G3,G3,,4,
18,B03,G3_27C_D7_1D,7,27,G3,1,D,I,20,G3,G3,,4,
18,A02,G3_27C_D7_2E,7,27,G3,2,E,I,23,G3,G3,,4,
18,A04,G3_31C_D7_3D,14,27,G3,2,C,F,37,G3,G3,,4,
18,C01,F1_27C_D7_2D,7,27,F1,2,D,I,16,F1,F1,,4,
18,C02,G3_27C_D7_2A,7,27,G3,2,A,I,21,G3,G3,,4,
18,B01,F1_31C_D3_3B,3,31,F1,3,B,F,11,F1,F1,,4,
18,B02,G3_27C_D7_3D,7,27,G3,3,D,I,24,G3,G3,,4,
18,B04,G3_31C_D7_3D,7,31,G3,3,D,L,30,G3,G3,,4,
18,C03,G3_31C_D3_3C,3,31,G3,3,C,G,15,G3,G3,,4,
18,C04,F1_31C_D3_3C,3,31,F1,3,C,G,19,F1,F1,,4,
18,H09,NTC_C1,,,,,,,,C1,NTC,,4,
18,H10,NTC_D1,,,,,,,,D1,NTC,,4,
18,H11,NTC_F1,,,,,,,,F1,NTC,,4,
18,H12,NTC_G3,,,,,,,,G3,NTC,,4,
