Well,Sample,Target,Conc(copies/µL),Status,Experiment,SampleType,TargetType,Supermix,DyeName(s),Copies/20µLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Accepted Droplets,Positives,Negatives,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Linkage,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Threshold1,Threshold2,Threshold3,ReferenceUsed,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,Fractional Abundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,MeanAmplitudeOfPositives,MeanAmplitudeOfNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfidenceMax68,TotalConfidenceMin68,PoissonConfidenceMax68,PoissonConfidenceMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68
A01,C1A_1A01,C1,NA,CHECK,DQ,Unknown,Unknown,QX200 ddPCR EvaGreen Supermix,EvaGreen,,,,,,6184,6176,8,0,0,0,0,,,,,,,,,8541.864258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A02,C1B_4,C1,8.996186256,Manual,DQ,Unknown,Unknown,QX200 ddPCR EvaGreen Supermix,EvaGreen,179.9237213,,,10.60691452,7.38766098,15753,120,15633,0,0,0,0,,,,,,,,,13500,,,,,,,,,,,,,,17041.80851,5851.580623,5936.823266,,,,,9.817710876,8.175235748,,,,,,,,,,,,
A03,D1A_1,D1,1193.038574,Manual,DQ,Unknown,Unknown,QX200 ddPCR EvaGreen Supermix,EvaGreen,23860.77148,,,1217.821655,1168.766846,15532,9898,5634,0,0,0,0,,,,,,,,,16000,,,,,,,,,,,,,,17798.80115,8674.036474,14488.92965,,,,,1205.617676,1180.592407,,,,,,,,,,,,
A04,D1B_4,D1,1.796961665,Manual,DQ,Unknown,Unknown,QX200 ddPCR EvaGreen Supermix,EvaGreen,35.93923187,,,2.708981037,1.117297649,13104,20,13084,0,0,0,0,,,,,,,,,20000,,,,,,,,,,,,,,22375.68877,7777.648565,7799.928846,,,,,2.229090929,1.424765229,,,,,,,,,,,,
A05,F1A_1,F1,5258.594727,Manual,DQ,Unknown,Unknown,QX200 ddPCR EvaGreen Supermix,EvaGreen,105171.8906,,,5458.162109,5088.021973,13625,13469,156,0,0,0,0,,,,,,,,,20000,,,,,,,,,,,,,,21803.5372,17817.31817,21757.89682,,,,,5356.185059,5168.483398,,,,,,,,,,,,
A06,F1B_4,F1,9.905973434,Manual,DQ,Unknown,Unknown,QX200 ddPCR EvaGreen Supermix,EvaGreen,198.1194763,,,11.67236805,8.142226219,14431,121,14310,0,0,0,0,,,,,,,,,19000,,,,,,,,,,,,,,20896.25312,12167.41147,12240.60043,,,,,10.80686283,9.005771637,,,,,,,,,,,,
A07,G3A_1,G3,1000000,Manual,DQ,Unknown,Unknown,QX200 ddPCR EvaGreen Supermix,EvaGreen,20000000,,,1000000,10054.89551,15428,15428,0,0,0,0,0,,,,,,,,,15500,,,,,,,,,,,,,,18479.07223,0,18479.07223,,,,,1000000,10976.30469,,,,,,,,,,,,
A08,G3B_4,G3,93.05818939,Manual,DQ,Unknown,Unknown,QX200 ddPCR EvaGreen Supermix,EvaGreen,1861.163818,,,98.27386475,87.86553955,16160,1229,14931,0,0,0,0,,,,,,,,,18500,,,,,,,,,,,,,,20435.01077,8126.926924,9062.981073,,,,,95.716362,90.40602112,,,,,,,,,,,,
A09,D1_27C_1A_D3,D1,0.23067297,Manual,DQ,Unknown,Unknown,QX200 ddPCR EvaGreen Supermix,EvaGreen,4.613459587,,,0.611459196,0.054742292,15302,3,15299,0,0,0,0,,,,,,,,,19000,,,,,,,,,,,,,,23407.34375,7595.554596,7598.654542,,,,,0.394939691,0.119867414,,,,,,,,,,,,
A10,D1_30C_2A_D3,D1,0.073771477,Manual,DQ,Unknown,Unknown,QX200 ddPCR EvaGreen Supermix,EvaGreen,1.475429535,,,0.352374285,0.003098309,15948,1,15947,0,0,0,0,,,,,,,,,19000,,,,,,,,,,,,,,22623.57617,8164.074266,8164.980932,,,,,0.183625773,0.019991612,,,,,,,,,,,,
