Well,Sample,Target,Conc(copies/µL),Status,Experiment,SampleType,TargetType,Supermix,DyeName(s),Copies/20µLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Accepted Droplets,Positives,Negatives,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Linkage,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Threshold1,Threshold2,Threshold3,ReferenceUsed,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,Fractional Abundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,MeanAmplitudeOfPositives,MeanAmplitudeOfNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfidenceMax68,TotalConfidenceMin68,PoissonConfidenceMax68,PoissonConfidenceMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68
A01,160ALL_C1,C1,0.221954643726349,Manual,DQ,Unknown,Unknown,QX200 ddPCR EvaGreen Supermix,EvaGreen,4.4390926361084,,,0.711068570613861,0.0336234383285046,10602,2,10600,0,0,0,0,,,,,,,,,13500,,,,,,,,,,,,,,14051.5830078125,6082.99867698813,6084.5018998387,,,,,0.426744937896729,0.0963231697678566,,,,,,,,,,,,
A02,C1_CONTROL_D1,C1,0,Manual,DQ,Unknown,Unknown,QX200 ddPCR EvaGreen Supermix,EvaGreen,0,,,0.283256739377975,0,12445,0,12445,0,0,0,0,,,,,,,,,13500,,,,,,,,,,,,,,0,6299.98718031212,6299.98718031214,,,,,0.129423603415489,0,,,,,,,,,,,,
A03,C1_CONTROL_G3,C1,0,Manual,DQ,Unknown,Unknown,QX200 ddPCR EvaGreen Supermix,EvaGreen,0,,,0.277066797018051,0,12723,0,12723,0,0,0,0,,,,,,,,,13500,,,,,,,,,,,,,,0,6230.51961829094,6230.51961829094,,,,,0.12659552693367,0,,,,,,,,,,,,
A04,149ALL_D1,D1,2.20726251602173,Manual,DQ,Unknown,Unknown,QX200 ddPCR EvaGreen Supermix,EvaGreen,44.1452484130859,,,3.26832175254822,1.40564775466919,11737,22,11715,0,0,0,0,,,,,,,,,18072.166015625,,,,,,,,,,,,,,19463.2990056818,7833.18443802017,7854.98409044315,,,,,2.71150040626526,1.76989555358887,,,,,,,,,,,,
A05,D1_CONTROL_C1,D1,0,Manual,DQ,Unknown,Unknown,QX200 ddPCR EvaGreen Supermix,EvaGreen,0,,,0.317956358194351,0,11087,0,11087,0,0,0,0,,,,,,,,,19000,,,,,,,,,,,,,,0,8191.11921527429,8191.11921527429,,,,,0.145277142524719,0,,,,,,,,,,,,
A06,D1_CONTROL_G3,D1,0,Manual,DQ,Unknown,Unknown,QX200 ddPCR EvaGreen Supermix,EvaGreen,0,,,0.28859093785286,0,12215,0,12215,0,0,0,0,,,,,,,,,19000,,,,,,,,,,,,,,0,7645.57670892441,7645.57670892442,,,,,0.131860703229904,0,,,,,,,,,,,,
A07,147ALL_F1,F1,0,Manual,DQ,Unknown,Unknown,QX200 ddPCR EvaGreen Supermix,EvaGreen,0,,,0.317012637853622,0,11120,0,11120,0,0,0,0,,,,,,,,,18000,,,,,,,,,,,,,,0,12505.5219024,12505.5219023999,,,,,0.144845977425575,0,,,,,,,,,,,,
A08,F1_CONTROL_C1,F1,0,Manual,DQ,Unknown,Unknown,QX200 ddPCR EvaGreen Supermix,EvaGreen,0,,,0.292907774448395,0,12035,0,12035,0,0,0,0,,,,,,,,,18000,,,,,,,,,,,,,,0,12450.0367252415,12450.0367252415,,,,,0.133832976222038,0,,,,,,,,,,,,
A09,F1_CONTROL_D1,F1,1.25045597553253,Manual,DQ,Unknown,Unknown,QX200 ddPCR EvaGreen Supermix,EvaGreen,25.0091190338135,,,2.1049690246582,0.666223466396332,11296,12,11284,0,0,0,0,,,,,,,,,18000,,,,,,,,,,,,,,19851.8504231771,12044.8008845835,12053.0944924503,,,,,1.64785814285278,0.922812283039093,,,,,,,,,,,,
A10,F1_CONTROL_G3,F1,0.121379472315311,Manual,DQ,Unknown,Unknown,QX200 ddPCR EvaGreen Supermix,EvaGreen,2.42758941650391,,,0.579821348190308,0.00509768631309271,9693,1,9692,0,0,0,0,,,,,,,,,18000,,,,,,,,,,,,,,24634.990234375,12186.740015525,12188.0242670694,,,,,0.302136719226837,0.0328925997018814,,,,,,,,,,,,
A11,NTC_G3,G3,0,Manual,DQ,Unknown,Unknown,QX200 ddPCR EvaGreen Supermix,EvaGreen,0,,,0.356589138507843,0,9886,0,9886,0,0,0,0,,,,,,,,,16000,,,,,,,,,,,,,,0,7279.65933141722,7279.65933141722,,,,,0.162927329540253,0,,,,,,,,,,,,
A12,G3_CONTROL_D1,G3,0,Manual,DQ,Unknown,Unknown,QX200 ddPCR EvaGreen Supermix,EvaGreen,0,,,0.340732306241989,0,10346,0,10346,0,0,0,0,,,,,,,,,16000,,,,,,,,,,,,,,0,6862.67250709674,6862.67250709674,,,,,0.155682846903801,0,,,,,,,,,,,,
B01,C1_CONTROL_F1,C1,0,Manual,DQ,Unknown,Unknown,QX200 ddPCR EvaGreen Supermix,EvaGreen,0,,,0.422196209430695,0,8350,0,8350,0,0,0,0,,,,,,,,,13500,,,,,,,,,,,,,,0,7138.00371163922,7138.00371163922,,,,,0.192900627851486,0,,,,,,,,,,,,
