Plate,Well,Sample,Day,Temp,Symbiont,Pot,Replicate,Box,Number,Primer,Info,ALL.number,ul.DNA,BACKUP.NUMBER
15,A01,160ALL_C1,14,27,ALL,3,A,LAST,54,C1,ALL,160,2,
15,A02,C1_CONTROL_D1,3,30,D1,1,e,D,47,C1,CONTROL,,4,
15,A03,C1_CONTROL_G3,3,30,G3,1,c,E,7,C1,CONTROL,,4,
15,A04,149ALL_D1,7,30,ALL,1,B,M,42,D1,ALL,149,2,B263
15,A05,D1_CONTROL_C1,7,30,C1,1,e,H,36,D1,CONTROL,,4,D85
15,A06,D1_CONTROL_G3,7,31,G3,1,D,L,28,D1,CONTROL,,4,
15,A07,147ALL_F1,7,27,ALL,3,D,N,41,F1,ALL,147,2,B130
15,A08,F1_CONTROL_C1,7,30,C1,2,D,I,38,F1,CONTROL,,4,D89
15,A09,F1_CONTROL_D1,14,27,D1,2,C,F,26,F1,CONTROL,,4,
15,A10,F1_CONTROL_G3,3,31,G3,2,D,F,15,F1,CONTROL,,4,
15,A11,NTC_G3,,,G3,,,,,G3,NTC,,4,
15,A12,G3_CONTROL_D1,3,31,D1,3,R,E,41,G3,CONTROL,,4,
15,B01,C1_CONTROL_F1,3,27,F1,1,C,D,17,C1,CONTROL,,4,
15,B02,C1_CONTROL_D1,3,31,D1,1,E,E,33,C1,CONTROL,,4,
15,B03,C1_CONTROL_G3,3,30,G3,3,D,E,16,C1,CONTROL,,4,
15,B04,170ALL_D1,3,31,ALL,2,I,N,28,D1,ALL,170,4,B
15,B05,D1_CONTROL_C1,3,31,C1,3,C,E,27,D1,CONTROL,,4,
15,B06,D1_CONTROL_G3,3,27,G3,1,A,O,12,D1,CONTROL,,4,
15,B07,154ALL_F1,14,27,ALL,1,A,LAST,48,F1,ALL,154,2,
15,B08,F1_CONTROL_C1,3,31,C1,2,E,E,25,F1,CONTROL,,4,
15,B09,F1_CONTROL_D1,7,27,D1,3,e,H,12,F1,CONTROL,,4,
15,B10,F1_CONTROL_G3,3,31,G3,3,B,F,16,F1,CONTROL,,4,
15,B11,G3_CONTROL_F1,3,31,F1,1,E,E,45,G3,CONTROL,,4,
15,B12,G3_CONTROL_D1,,,D1,,,,45,G3,CONTROL,,4,
15,C01,170ALL_C1,3,27,ALL,3,I,N,3,C1,ALL,170,4,B
15,C02,,,,,,,L,18,C1,NA,,4,151
15,C03,C1_CONTROL_G3,3,30,G3,1,C,E,7,C1,CONTROL,,4,
15,C04,D1_CONTROL_F1,3,27,F1,2,C,D,20,D1,CONTROL,,4,
15,C05,D1_CONTROL_F1,3,30,F1,2,D,F,8,D1,CONTROL,,4,
15,C06,D1_CONTROL_G3,14,27,G3,3,D,G,37,D1,CONTROL,,4,
15,C07,158ALL_F1,14,27,ALL,1,E,LAST,52,F1,ALL,158,2,
15,C08,F1_CONTROL_C1,,,C1,,,I,56,F1,CONTROL,,4,
15,C09,F1_CONTROL_D1,14,27,D1,2,E,F,27,F1,CONTROL,,4,
15,C10,170ALL_G3,3,27,ALL,3,I,N,3,G3,ALL,170,4,B
15,C11,G3_CONTROL_F1,3,27,ALL,2,E,L,43,G3,ALL,164,4,B
15,C12,G3_CONTROL_D1,7,30,D1,3,C,I,46,G3,CONTROL,,4,D108
15,D01,C1_CONTROL_F1,3,30,G3,1,E,E,9,C1,CONTROL,,4,
15,D02,C1_CONTROL_F1,3,30,F1,3,D,E,4,C1,CONTROL,,4,
15,D03,C1_CONTROL_G3,3,30,G3,3,C,E,15,C1,CONTROL,,4,
15,D04,165ALL_D1,7,27,ALL,2,D,M,31,D1,ALL,165,2,B121
15,D05,D1_CONTROL_F1,3,31,F1,2,D,F,9,D1,CONTROL,,4,
15,D06,D1_CONTROL_G3,3,31,G3,1,C,G,11,D1,CONTROL,,4,
15,D07,159ALL_F1,14,27,ALL,2,A,LAST,53,F1,ALL,159,2,
15,D08,F1_CONTROL_C1,3,31,C1,1,C,E,19,F1,CONTROL,,4,
15,D09,F1_CONTROL_D1,7,27,D1,3,C,H,11,F1,CONTROL,,4,
15,D10,154ALL_G3,14,27,ALL,1,A,LAST,48,G3,ALL,154,4,
15,D11,G3_CONTROL_C1,7,30,C1,2,D,I,38,G3,CONTROL,,4,D89
15,D12,G3_CONTROL_D1,14,27,D1,2,C,F,26,G3,CONTROL,,4,
15,E01,165ALL_C1,7,27,ALL,2,D,M,31,C1,ALL,165,2,B121
15,E02,C1_CONTROL_F1,3,27,F1,3,E,D,25,C1,CONTROL,,4,
15,E03,C1_CONTROL_G3,3,30,G3,2,E,E,13,C1,CONTROL,,4,
15,E04,170ALL_G3,3,27,ALL,3,I,N,3,G3,ALL,170,4,B
15,E05,D1_CONTROL_F1,7,27,G3,2,C,I,22,D1,CONTROL,,4,D53
15,E06,D1_CONTROL_G3,14,27,G3,3,E,F,40,D1,CONTROL,,4,
15,E07,160ALL_F1,14,27,ALL,3,A,LAST,54,F1,ALL,160,2,
15,E08,F1_CONTROL_C1,3,31,D1,3,D,E,40,F1,CONTROL,,4,
