"","Temp","Day","Symbiont","Pot","Replicate","cells.larvae","count.type","cells.larvae_log","cells.larvae_counts","cells.larvae_counts_round","Infect","PotCode"
"302","30","7","F1","2","B",55.0679067916667,"ddPCR",1.74871434269029,55.0679067916667,55,1,"302F1"
"303","31","7","F1","3","D",0,"ddPCR",0,0,0,0,"313F1"
"304","30","14","F1","1","B",84.28246775,"ddPCR",1.93085975869354,84.28246775,84,1,"301F1"
"3121","27","3","F1","3","A",0,"ddPCR",0,0,0,0,"273F1"
"313","31","3","F1","1","A",0,"ddPCR",0,0,0,0,"311F1"
"314","30","7","F1","3","A",0,"ddPCR",0,0,0,0,"303F1"
"315","27","14","F1","1","A",4.57806295833333,"ddPCR",0.746483411741155,4.57806295833333,5,1,"271F1"
"316","30","14","F1","1","C",367.812991125,"ddPCR",2.56680621030603,367.812991125,368,1,"301F1"
"324","27","3","F1","3","B",0,"ddPCR",0,0,0,0,"273F1"
"325","31","3","F1","1","B",0,"ddPCR",0,0,0,0,"311F1"
"326","30","7","F1","3","B",1039.35178125,"ddPCR",3.01718021509022,1039.35178125,1039,1,"303F1"
"327","27","14","F1","1","B",0,"ddPCR",0,0,0,0,"271F1"
"328","30","14","F1","2","A",0,"ddPCR",0,0,0,0,"302F1"
"336","30","3","F1","3","C",0,"ddPCR",0,0,0,0,"303F1"
"337","31","3","F1","2","A",0,"ddPCR",0,0,0,0,"312F1"
"338","31","7","F1","1","A",0,"ddPCR",0,0,0,0,"311F1"
"339","27","14","F1","2","A",0,"ddPCR",0,0,0,0,"272F1"
"348","30","3","F1","1","C",0,"ddPCR",0,0,0,0,"301F1"
"349","31","3","F1","2","B",0,"ddPCR",0,0,0,0,"312F1"
"350","31","7","F1","2","A",66.2576407083333,"ddPCR",1.82774162888223,66.2576407083333,66,1,"312F1"
"351","27","14","F1","2","B",0,"ddPCR",0,0,0,0,"272F1"
"1107","30","14","F1","2","B",382.675528541667,"ddPCR",2.58396410006295,382.675528541667,383,1,"302F1"
"1317","30","14","F1","3","A",4.31833758333333,"ddPCR",0.725775900864234,4.31833758333333,4,1,"303F1"
"2516","30","7","F1","1","D",137.865781791667,"ddPCR",2.14259524350689,137.865781791667,138,1,"301F1"
"378","31","7","F1","3","E",0,"ddPCR",0,0,0,0,"313F1"
"506","30","14","F1","1","A",21.2399189583333,"ddPCR",1.34713320035549,21.2399189583333,21,1,"301F1"
"628","31","7","F1","3","D",0,"ddPCR",0,0,0,0,"313F1"
"1323","31","3","F1","3","B",0,"ddPCR",0,0,0,0,"313F1"
"2522","27","7","F1","2","D",70.148865375,"ddPCR",1.8521679786957,70.148865375,70,1,"272F1"
"2821","31","3","F1","3","C",46.9189236666667,"ddPCR",1.68050705456329,46.9189236666667,47,1,"313F1"
"470","27","14","F1","3","C",0,"ddPCR",0,0,0,0,"273F1"
"560","27","7","F1","2","C",0,"ddPCR",0,0,0,0,"272F1"
"880","30","7","F1","2","D",23.7832268079122,"ddPCR",1.39415785142001,23.7832268079122,24,1,"302F1"
"1623","27","14","F1","2","D",0,"ddPCR",0,0,0,0,"272F1"
"1724","27","7","F1","1","C",51.4525820811588,"ddPCR",1.71976687205288,51.4525820811588,51,1,"271F1"
"2822","27","3","F1","3","C",134.218662977219,"ddPCR",2.13103663737967,134.218662977219,134,1,"273F1"
"2924","30","7","F1","1","B",25.951012969017,"ddPCR",1.43057509303247,25.951012969017,26,1,"301F1"
"4014","27","3","F1","3","D",62.8243386745454,"ddPCR",1.80498632349221,62.8243386745454,63,1,"273F1"
"4118","30","7","F1","2","E",632.616440455121,"ddPCR",2.80182643737296,632.616440455121,633,1,"302F1"
"5214","30","3","F1","1","E",0,"ddPCR",0,0,0,0,"301F1"
"5312","27","14","F1","1","D",16.3371463616689,"ddPCR",1.23897761555259,16.3371463616689,16,1,"271F1"
"6411","30","3","F1","2","C",0,"ddPCR",0,0,0,0,"302F1"
"6512","30","14","F1","2","E",0,"ddPCR",0,0,0,0,"302F1"
"7610","31","3","F1","3","E",20.3084858755271,"ddPCR",1.3285525909969,20.3084858755271,20,1,"313F1"
"8711","30","7","F1","1","A",4.41598209242025,"ddPCR",0.733677219714029,4.41598209242025,4,1,"301F1"
"8810","31","3","F1","2","E",4.1663854693373,"ddPCR",0.713186806204462,4.1663854693373,4,1,"312F1"
"8912","30","14","F1","1","D",0,"ddPCR",0,0,0,0,"301F1"
"9118","30","7","F1","2","E",53.8085748751958,"ddPCR",1.73884850975538,53.8085748751958,54,1,"302F1"
"3815","27","14","F1","1","D",20.5904183288415,"ddPCR",1.33426105716274,20.5904183288415,21,1,"271F1"
"55","27","3","F1","1","A",3,"scope",0.565936391848285,2.6807506024995,3,1,"271F1"
"56","27","3","F1","1","B",5,"scope",0.731462175360625,4.38842913101977,4,1,"271F1"
"573","27","3","F1","1","C",0,"scope",0,0,0,0,"271F1"
"583","27","3","F1","2","A",35,"scope",1.46292435072125,28.0351685000225,28,1,"272F1"
"59","27","3","F1","2","B",34,"scope",1.45142396168926,27.2763899143455,27,1,"272F1"
"60","27","3","F1","2","C",2,"scope",0.448493979436483,1.80862643690349,2,1,"272F1"
"61","27","3","F1","3","A",0,"scope",0,0,0,0,"273F1"
"62","27","3","F1","3","B",0,"scope",0,0,0,0,"273F1"
"63","27","3","F1","3","C",2,"scope",0.448493979436483,1.80862643690349,2,1,"273F1"
"64","30","3","F1","1","A",0,"scope",0,0,0,0,"301F1"
"65","30","3","F1","1","B",3,"scope",0.565936391848285,2.6807506024995,3,1,"301F1"
"66","30","3","F1","1","C",0,"scope",0,0,0,0,"301F1"
"67","30","3","F1","2","A",4,"scope",0.657031804075858,3.5397486073424,4,1,"302F1"
"68","30","3","F1","2","B",0,"scope",0,0,0,0,"302F1"
"693","30","3","F1","2","C",1,"scope",0.282968195924142,0.918528238650529,1,1,"302F1"
"703","30","3","F1","3","A",4,"scope",0.657031804075858,3.5397486073424,4,1,"303F1"
"71","30","3","F1","3","B",1,"scope",0.282968195924142,0.918528238650529,1,1,"303F1"
"72","30","3","F1","3","C",0,"scope",0,0,0,0,"303F1"
"73","31","3","F1","1","A",20,"scope",1.24288613704988,16.4938797547457,16,1,"311F1"
"74","31","3","F1","1","B",4,"scope",0.657031804075858,3.5397486073424,4,1,"311F1"
"75","31","3","F1","1","C",10,"scope",0.978909124048732,8.52596812655077,9,1,"311F1"
"76","31","3","F1","2","A",3,"scope",0.565936391848285,2.6807506024995,3,1,"312F1"
"77","31","3","F1","2","B",1,"scope",0.282968195924142,0.918528238650529,1,1,"312F1"
"78","31","3","F1","2","C",20,"scope",1.24288613704988,16.4938797547457,16,1,"312F1"
"79","31","3","F1","3","A",0,"scope",0,0,0,0,"313F1"
"80","31","3","F1","3","B",0,"scope",0,0,0,0,"313F1"
"813","31","3","F1","3","C",2,"scope",0.448493979436483,1.80862643690349,2,1,"313F1"
"191","27","7","F1","1","A",38.88888889,"hemo",1.50480082280203,30.9742836095641,31,1,"271F1"
"2011","27","7","F1","1","B",90.74074074,"hemo",1.84480850787794,68.9533484856945,69,1,"271F1"
"211","27","7","F1","1","C",0,"hemo",0,0,0,0,"271F1"
"2211","27","7","F1","2","A",0,"hemo",0,0,0,0,"272F1"
"2311","27","7","F1","2","B",0,"hemo",0,0,0,0,"272F1"
"2411","27","7","F1","2","C",25.92592593,"hemo",1.34436040795982,21.0983785041649,21,1,"272F1"
"251","27","7","F1","3","A",0,"hemo",0,0,0,0,"273F1"
"2611","27","7","F1","3","B",0,"hemo",0,0,0,0,"273F1"
"2711","27","7","F1","3","C",0,"hemo",0,0,0,0,"273F1"
"671","30","7","F1","1","A",0,"hemo",0,0,0,0,"301F1"
"681","30","7","F1","1","B",0,"hemo",0,0,0,0,"301F1"
"691","30","7","F1","1","C",0,"hemo",0,0,0,0,"301F1"
"701","30","7","F1","2","A",25.92592593,"hemo",1.34436040795982,21.0983785041649,21,1,"302F1"
"711","30","7","F1","2","B",12.96296296,"hemo",1.07627893079737,10.9200734312452,11,1,"302F1"
"721","30","7","F1","2","C",25.92592593,"hemo",1.34436040795982,21.0983785041649,21,1,"302F1"
"731","30","7","F1","3","A",51.85185185,"hemo",1.61967659640402,40.6559071276609,41,1,"303F1"
"741","30","7","F1","3","B",116.6666667,"hemo",1.94641424374372,87.3922611655715,87,1,"303F1"
"751","30","7","F1","3","C",51.85185185,"hemo",1.61967659640402,40.6559071276609,41,1,"303F1"
"1151","31","7","F1","1","A",816.6666667,"hemo",2.73782171589416,545.791451091325,546,1,"311F1"
"1161","31","7","F1","1","B",505.5555556,"hemo",2.5423494578327,347.617719684158,348,1,"311F1"
"1171","31","7","F1","1","C",12.96296296,"hemo",1.07627893079737,10.9200734312452,11,1,"311F1"
"1181","31","7","F1","2","A",25.92592593,"hemo",1.34436040795982,21.0983785041649,21,1,"312F1"
"1191","31","7","F1","2","B",0,"hemo",0,0,0,0,"312F1"
"1201","31","7","F1","2","C",25.92592593,"hemo",1.34436040795982,21.0983785041649,21,1,"312F1"
"1211","31","7","F1","3","A",0,"hemo",0,0,0,0,"313F1"
"1221","31","7","F1","3","B",479.6296296,"hemo",2.52090190802168,330.819502633971,331,1,"313F1"
"1231","31","7","F1","3","C",25.92592593,"hemo",1.34436040795982,21.0983785041649,21,1,"313F1"
"192","27","14","F1","1","A",38.88888889,"hemo",1.50480082280203,30.9742836095641,31,1,"271F1"
"2021","27","14","F1","1","B",0,"hemo",0,0,0,0,"271F1"
"2131","27","14","F1","1","C",12.96296296,"hemo",1.07627893079737,10.9200734312452,11,1,"271F1"
"222","27","14","F1","2","A",12.96296296,"hemo",1.07627893079737,10.9200734312452,11,1,"272F1"
"232","27","14","F1","2","B",38.88888889,"hemo",1.50480082280203,30.9742836095641,31,1,"272F1"
"242","27","14","F1","2","C",0,"hemo",0,0,0,0,"272F1"
"252","27","14","F1","3","A",0,"hemo",0,0,0,0,"273F1"
"2621","27","14","F1","3","B",12.96296296,"hemo",1.07627893079737,10.9200734312452,11,1,"273F1"
"2724","27","14","F1","3","C",0,"hemo",0,0,0,0,"273F1"
"613","30","14","F1","1","A",0,"hemo",0,0,0,0,"301F1"
"622","30","14","F1","1","B",0,"hemo",0,0,0,0,"301F1"
"632","30","14","F1","1","C",19.44444444,"hemo",1.23194079466725,16.0584982263398,16,1,"301F1"
"642","30","14","F1","2","A",181.4814815,"hemo",2.12554567027039,132.519799117852,133,1,"302F1"
"652","30","14","F1","2","B",181.4814815,"hemo",2.12554567027039,132.519799117852,133,1,"302F1"
"662","30","14","F1","2","C",12.96296296,"hemo",1.07627893079737,10.9200734312452,11,1,"302F1"
"672","30","14","F1","3","A",0,"hemo",0,0,0,0,"303F1"
"682","30","14","F1","3","B",19.44444444,"hemo",1.23194079466725,16.0584982263398,16,1,"303F1"
"692","30","14","F1","3","C",38.88888889,"hemo",1.50480082280203,30.9742836095641,31,1,"303F1"
"1002","31","14","F1","3","A",233.3333333,"hemo",2.22764402602408,167.905591190346,168,1,"313F1"
"1013","31","14","F1","3","B",77.77777778,"hemo",1.78261950221063,59.6204983373065,60,1,"313F1"
"1022","31","14","F1","3","C",77.77777778,"hemo",1.78261950221063,59.6204983373065,60,1,"313F1"
"111","27","3","G3","1","A",11.5409516973684,"ddPCR",1.09833049512567,11.5409516973684,12,1,"271G3"
"121","30","3","G3","2","A",0,"ddPCR",0,0,0,0,"302G3"
"234","27","3","G3","1","B",7.108637375,"ddPCR",0.90894787884262,7.108637375,7,1,"271G3"
"244","30","3","G3","2","B",9.748647875,"ddPCR",1.03135383566005,9.748647875,10,1,"302G3"
"353","27","3","G3","2","A",670.606813815789,"ddPCR",2.82711509364169,670.60681381579,671,1,"272G3"
"363","30","3","G3","3","A",45.9232455789474,"ddPCR",1.67138804368814,45.9232455789474,46,1,"303G3"
"471","27","3","G3","2","B",51.3979918092105,"ddPCR",1.71931464265374,51.3979918092105,51,1,"272G3"
"481","30","3","G3","3","B",6.76545265789474,"ddPCR",0.890166776368005,6.76545265789474,7,1,"303G3"
"593","27","3","G3","3","A",16.6764149539474,"ddPCR",1.2473941880755,16.6764149539474,17,1,"273G3"
"603","31","3","G3","1","A",2.88893498026316,"ddPCR",0.589830682168036,2.88893498026316,3,1,"311G3"
"714","27","3","G3","3","B",10.1570824276316,"ddPCR",1.04755064162334,10.1570824276316,10,1,"273G3"
"723","31","3","G3","1","B",59.9549067631579,"ddPCR",1.78500867130618,59.9549067631579,60,1,"311G3"
"83","30","3","G3","1","A",241.884357039474,"ddPCR",2.38539954498131,241.884357039474,242,1,"301G3"
"84","31","3","G3","2","A",12.7511369539474,"ddPCR",1.13833860743262,12.7511369539474,13,1,"312G3"
"95","30","3","G3","1","B",338.894618157895,"ddPCR",2.53134428808164,338.894618157895,339,1,"301G3"
"96","31","3","G3","2","B",200.735217631579,"ddPCR",2.30478172115747,200.735217631579,201,1,"312G3"
"119","30","7","G3","1","A",22.0152798421053,"ddPCR",1.36201625983583,22.0152798421053,22,1,"301G3"
"120","31","7","G3","1","B",1496.25105592105,"ddPCR",3.17529462803811,1496.25105592105,1496,1,"311G3"
"131","30","7","G3","1","B",484.986957763158,"ddPCR",2.68662461443206,484.986957763158,485,1,"301G3"
"132","31","7","G3","1","C",989.646209210526,"ddPCR",2.99591858201216,989.646209210526,990,1,"311G3"
"143","30","7","G3","2","C",1111.62286052632,"ddPCR",3.04634797893614,1111.62286052632,1112,1,"302G3"
"144","31","7","G3","2","A",57.4982856447368,"ddPCR",1.76714313880115,57.4982856447368,57,1,"312G3"
"155","30","7","G3","2","D",585.62504618421,"ddPCR",2.76836060141198,585.625046184211,586,1,"302G3"
"156","31","7","G3","3","A",230.571069210526,"ddPCR",2.36468430087988,230.571069210526,231,1,"313G3"
"167","30","7","G3","3","B",1778.84694144737,"ddPCR",3.25038265661064,1778.84694144737,1779,1,"303G3"
"168","31","7","G3","3","B",316.176188618421,"ddPCR",2.50130057606112,316.176188618421,316,1,"313G3"
"179","30","7","G3","3","C",63.3842443157895,"ddPCR",1.80877960270327,63.3842443157895,63,1,"303G3"
"180","27","14","G3","1","A",0,"ddPCR",0,0,0,0,"271G3"
"1911","31","7","G3","1","A",119.293990855263,"ddPCR",2.08024393321198,119.293990855263,119,1,"311G3"
"195","27","14","G3","3","A",185.174804013158,"ddPCR",2.26992090533239,185.174804013158,185,1,"273G3"
"196","31","14","G3","1","A",205.222430986842,"ddPCR",2.31433590209195,205.222430986842,205,1,"311G3"
"203","27","14","G3","3","C",315.579037894737,"ddPCR",2.5004821549103,315.579037894737,316,1,"273G3"
"2111","30","14","G3","1","A",111.528409144737,"ddPCR",2.05126217913391,111.528409144737,112,1,"301G3"
"2121","31","14","G3","1","C",113.267497039474,"ddPCR",2.0579227145264,113.267497039474,113,1,"311G3"
"219","30","14","G3","2","A",79.9110939473684,"ddPCR",1.90800807303133,79.9110939473684,80,1,"302G3"
"220","31","14","G3","1","D",29.0620389736842,"ddPCR",1.47801843350268,29.0620389736842,29,1,"311G3"
"227","30","14","G3","2","B",188.467201447368,"ddPCR",2.27753404035551,188.467201447368,188,1,"302G3"
"228","31","14","G3","1","E",63.1634310657895,"ddPCR",1.80728757929572,63.1634310657895,63,1,"311G3"
"235","30","14","G3","2","D",267.120060197368,"ddPCR",2.42832930822796,267.120060197369,267,1,"302G3"
"2421","27","14","G3","2","A",159.712490263158,"ddPCR",2.20604963060014,159.712490263158,160,1,"272G3"
"243","30","14","G3","3","A",207.274324013158,"ddPCR",2.31863573357369,207.274324013158,207,1,"303G3"
"250","27","14","G3","2","B",1629.11003486842,"ddPCR",3.2122169209213,1629.11003486842,1629,1,"272G3"
"2511","30","14","G3","3","B",1163.78252105263,"ddPCR",3.06624484491252,1163.78252105263,1164,1,"303G3"
"4112","31","14","G3","1","B",25.2907574144737,"ddPCR",1.41980309794311,25.2907574144737,25,1,"311G3"
"657","31","14","G3","1","E",102.667350526316,"ddPCR",2.01564199921546,102.667350526316,103,1,"311G3"
"2123","27","7","G3","2","E",483.212119671053,"ddPCR",2.68503565549065,483.212119671053,483,1,"272G3"
"3100","27","14","G3","1","D",1144.77709736842,"ddPCR",3.05910013700425,1144.77709736842,1145,1,"271G3"
"468","27","14","G3","2","C",1994.04726513158,"ddPCR",3.29995318911684,1994.04726513158,1994,1,"272G3"
"1422","27","7","G3","3","D",282.837541447368,"ddPCR",2.4530698363828,282.837541447368,283,1,"273G3"
"1523","27","7","G3","1","D",640.552570921053,"ddPCR",2.80723224968283,640.552570921053,641,1,"271G3"
"1622","31","7","G3","3","D",492.927651644737,"ddPCR",2.6936633400319,492.927651644737,493,1,"313G3"
"2622","27","7","G3","2","A",1228.68939473684,"ddPCR",3.08979542754773,1228.68939473684,1229,1,"272G3"
"2721","31","3","G3","3","C",205.376512105263,"ddPCR",2.31466026832568,205.376512105263,205,1,"313G3"
"670","27","3","G3","3","C",3.40681287803148,"ddPCR",0.644124609900955,3.40681287803148,3,1,"273G3"
"770","27","7","G3","2","D",768.748634739928,"ddPCR",2.8863489272921,768.748634739928,769,1,"272G3"
"1823","27","3","G3","1","B",0,"ddPCR",0,0,0,0,"271G3"
"1924","30","7","G3","1","C",0,"ddPCR",0,0,0,0,"301G3"
"3023","30","3","G3","2","D",804.140341909309,"ddPCR",2.90587158770264,804.140341909309,804,1,"302G3"
"3123","27","14","G3","2","D",493.676587154991,"ddPCR",2.69432135586648,493.676587154991,494,1,"272G3"
"4215","31","3","G3","2","C",0.726243284972092,"ddPCR",0.237102002199149,0.726243284972092,1,1,"312G3"
"4314","30","14","G3","3","S",203.367961080451,"ddPCR",2.31041281212516,203.367961080451,203,1,"303G3"
"5513","31","14","G3","1","D",140.603454489457,"ddPCR",2.15107384832133,140.603454489457,141,1,"311G3"
"6611","31","3","G3","1","E",26.4668370548047,"ddPCR",1.43880865109391,26.4668370548047,26,1,"311G3"
"6713","30","7","G3","1","D",1713.07192350689,"ddPCR",3.23402904123176,1713.07192350689,1713,1,"301G3"
"7813","27","7","G3","1","C",387.397364566201,"ddPCR",2.58927627438159,387.397364566201,387,1,"271G3"
"7913","27","14","G3","1","C",1060.25786148874,"ddPCR",3.02582092039079,1060.25786148874,1060,1,"271G3"
"9013","30","7","G3","3","E",955.021205701329,"ddPCR",2.98046752555741,955.021205701329,955,1,"303G3"
"3102","27","14","G3","2","D",609.125087135717,"ddPCR",2.78541888268885,609.125087135716,609,1,"272G3"
"1525","30","14","G3","3","D",264.131445633737,"ddPCR",2.42346123982405,264.131445633737,264,1,"303G3"
"2723","31","14","G3","1","D",145.323339261507,"ddPCR",2.16531360366504,145.323339261507,145,1,"311G3"
"6014","30","3","G3","2","D",1020.37058378521,"ddPCR",3.00918334570306,1020.37058378521,1020,1,"302G3"
"7014","31","3","G3","2","C",23.8481399260069,"ddPCR",1.39529388401075,23.8481399260069,24,1,"312G3"
"822","27","3","G3","1","A",50,"scope",1.60511596553206,39.2824582389637,39,1,"271G3"
"832","27","3","G3","1","B",9,"scope",0.94,7.7096358995608,8,1,"271G3"
"842","27","3","G3","1","C",2,"scope",0.448493979436483,1.80862643690349,2,1,"271G3"
"85","27","3","G3","2","A",122,"scope",1.96451080475303,91.1532815138671,91,1,"272G3"
"86","27","3","G3","2","B",15,"scope",1.13187278369657,12.5479249978004,13,1,"272G3"
"87","27","3","G3","2","C",11,"scope",1.01443037128477,9.33785344982856,9,1,"272G3"
"88","27","3","G3","3","A",23,"scope",1.29739856720891,18.8334637705269,19,1,"273G3"
"89","27","3","G3","3","B",15,"scope",1.13187278369657,12.5479249978004,13,1,"273G3"
"90","27","3","G3","3","C",196,"scope",2.1567982525919,142.482274513153,142,1,"273G3"
"91","30","3","G3","1","A",83,"scope",1.80882252889817,63.390608447334,63,1,"301G3"
"92","30","3","G3","1","B",134,"scope",2.00251374238531,99.580488919392,100,1,"301G3"
"931","30","3","G3","1","C",2,"scope",0.448493979436483,1.80862643690349,2,1,"301G3"
"941","30","3","G3","2","A",6,"scope",0.794392157613401,5.22862461340094,5,1,"302G3"
"951","30","3","G3","2","B",13,"scope",1.07736035353754,10.9497922087634,11,1,"302G3"
"961","30","3","G3","2","C",6,"scope",0.794392157613401,5.22862461340094,5,1,"302G3"
"97","30","3","G3","3","A",3,"scope",0.565936391848285,2.6807506024995,3,1,"303G3"
"98","30","3","G3","3","B",38,"scope",1.49560073060491,30.304064563119,30,1,"303G3"
"99","30","3","G3","3","C",0,"scope",0,0,0,0,"303G3"
"100","31","3","G3","1","A",18,"scope",1.20202838489566,14.923127950452,15,1,"311G3"
"101","31","3","G3","1","B",14,"scope",1.10552578351234,11.7504579554777,12,1,"311G3"
"102","31","3","G3","1","C",7,"scope",0.848904587772427,6.06162397032524,6,1,"311G3"
"103","31","3","G3","2","A",14,"scope",1.10552578351234,11.7504579554777,12,1,"312G3"
"104","31","3","G3","2","B",4,"scope",0.657031804075858,3.5397486073424,4,1,"312G3"
"105","31","3","G3","2","C",11,"scope",1.01443037128477,9.33785344982856,9,1,"312G3"
"106","31","3","G3","3","A",55,"scope",1.64329674538583,42.9842048721498,43,1,"313G3"
"107","31","3","G3","3","B",0,"scope",0,0,0,0,"313G3"
"108","31","3","G3","3","C",16,"scope",1.15662198609558,13.3424051378563,13,1,"313G3"
"281","27","7","G3","1","A",90.74074074,"hemo",1.84480850787794,68.9533484856945,69,1,"271G3"
"291","27","7","G3","1","B",168.5185185,"hemo",2.09546411932762,123.584530339598,124,1,"271G3"
"3011","27","7","G3","1","C",77.77777778,"hemo",1.78261950221063,59.6204983373065,60,1,"271G3"
"3111","27","7","G3","2","A",414.8148148,"hemo",2.46176596096306,288.578264494465,289,1,"272G3"
"3211","27","7","G3","2","B",51.85185185,"hemo",1.61967659640402,40.6559071276609,41,1,"272G3"
"3312","27","7","G3","2","C",116.6666667,"hemo",1.94641424374372,87.3922611655715,87,1,"272G3"
"3411","27","7","G3","3","A",38.88888889,"hemo",1.50480082280203,30.9742836095641,31,1,"273G3"
"3511","27","7","G3","3","B",103.7037037,"hemo",1.89876432165626,78.2071380897239,78,1,"273G3"
"361","27","7","G3","3","C",233.3333333,"hemo",2.22764402602408,167.905591190346,168,1,"273G3"
"761","30","7","G3","1","A",700,"hemo",2.67497493688866,472.123954215497,472,1,"301G3"
"771","30","7","G3","1","B",194.4444444,"hemo",2.15356193012421,141.417031797251,141,1,"301G3"
"781","30","7","G3","1","C",557.4074074,"hemo",2.58213410042737,381.062224902377,381,1,"301G3"
"791","30","7","G3","2","A",479.6296296,"hemo",2.52090190802168,330.819502633971,331,1,"302G3"
"801","30","7","G3","2","B",505.5555556,"hemo",2.5423494578327,347.617719684158,348,1,"302G3"
"811","30","7","G3","2","C",622.2222222,"hemo",2.62696435472142,422.608196434738,423,1,"302G3"
"821","30","7","G3","3","A",401.8518519,"hemo",2.44883664256011,280.084334852699,280,1,"303G3"
"831","30","7","G3","3","B",259.2592593,"hemo",2.27048181807944,185.415413302451,185,1,"303G3"
"841","30","7","G3","3","C",77.77777778,"hemo",1.78261950221063,59.6204983373065,60,1,"303G3"
"1241","31","7","G3","1","A",0,"hemo",0,0,0,0,"311G3"
"1251","31","7","G3","1","B",12.96296296,"hemo",1.07627893079737,10.9200734312452,11,1,"311G3"
"1261","31","7","G3","1","C",272.2222222,"hemo",2.29032505810823,194.130455395669,194,1,"311G3"
"1271","31","7","G3","2","A",272.2222222,"hemo",2.29032505810823,194.130455395669,194,1,"312G3"
"1281","31","7","G3","2","B",427.7777778,"hemo",2.47429833300531,297.056318587517,297,1,"312G3"
"1291","31","7","G3","2","C",246.2962963,"hemo",2.24962455535614,176.67427638156,177,1,"312G3"
"1301","31","7","G3","3","A",38.88888889,"hemo",1.50480082280203,30.9742836095641,31,1,"313G3"
"1311","31","7","G3","3","B",51.85185185,"hemo",1.61967659640402,40.6559071276609,41,1,"313G3"
"1321","31","7","G3","3","C",427.7777778,"hemo",2.47429833300531,297.056318587517,297,1,"313G3"
"282","27","14","G3","1","A",544.4444444,"hemo",2.57254549126765,372.719269496648,373,1,"271G3"
"2921","27","14","G3","1","B",58.33333333,"hemo",1.66690082271094,45.440920869935,45,1,"271G3"
"3021","27","14","G3","1","C",0,"hemo",0,0,0,0,"271G3"
"3131","27","14","G3","2","A",790.7407407,"hemo",2.72466801347537,529.478776781091,529,1,"272G3"
"3221","27","14","G3","2","B",725.9259259,"hemo",2.68980074880009,488.554163890735,489,1,"272G3"
"3321","27","14","G3","2","C",648.1481481,"hemo",2.64360319312236,439.152520468127,439,1,"272G3"
"342","27","14","G3","3","A",298.1481481,"hemo",2.32733313953329,211.487378970449,211,1,"273G3"
"352","27","14","G3","3","B",220.3703704,"hemo",2.20441232222885,159.107738136016,159,1,"273G3"
"362","27","14","G3","3","C",1140.740741,"hemo",2.87411344846017,747.364966418474,747,1,"273G3"
"702","30","14","G3","1","A",272.2222222,"hemo",2.29032505810823,194.130455395669,194,1,"301G3"
"713","30","14","G3","1","B",1166.666667,"hemo",2.88327974975869,763.327965084657,763,1,"301G3"
"722","30","14","G3","1","C",155.5555556,"hemo",2.06298837476572,114.608129568841,115,1,"301G3"
"732","30","14","G3","2","A",596.2962963,"hemo",2.60961843248543,406.022514072229,406,1,"302G3"
"742","30","14","G3","2","B",751.8518519,"hemo",2.70410695165461,504.949244397482,505,1,"302G3"
"752","30","14","G3","2","C",803.7037037,"hemo",2.73129784018757,537.639055821845,538,1,"302G3"
"762","30","14","G3","3","A",51.85185185,"hemo",1.61967659640402,40.6559071276609,41,1,"303G3"
"772","30","14","G3","3","B",142.5925926,"hemo",2.02770411465839,105.58696955231,106,1,"303G3"
"782","30","14","G3","3","C",142.5925926,"hemo",2.02770411465839,105.58696955231,106,1,"303G3"
"1032","31","14","G3","1","A",1555.555556,"hemo",3.00063474841343,1000.46263083719,1000,1,"311G3"
"1042","31","14","G3","1","B",388.8888889,"hemo",2.43548440726115,271.573987327566,272,1,"311G3"
"1052","31","14","G3","1","C",311.1111111,"hemo",2.34465067596198,220.131532630622,220,1,"311G3"
