"","Temp","Day","Symbiont","Pot","Replicate","cells.larvae","count.type","cells.larvae_log","cells.larvae_counts","cells.larvae_counts_round","Infect","PotCode"
"7","27","3","C1","3","A",38,"scope",1.49560073060491,30.304064563119,30,1,"273C1"
"8","27","3","C1","3","B",113,"scope",1.93349056025628,84.8006465051705,85,1,"273C1"
"9","27","3","C1","3","C",0,"scope",0,0,0,0,"273C1"
"10","30","3","C1","1","A",0,"scope",0,0,0,0,"301C1"
"11","30","3","C1","1","B",1,"scope",0.282968195924142,0.918528238650529,1,1,"301C1"
"12","30","3","C1","1","C",0,"scope",0,0,0,0,"301C1"
"13","30","3","C1","2","A",4,"scope",0.657031804075858,3.5397486073424,4,1,"302C1"
"14","30","3","C1","2","B",0,"scope",0,0,0,0,"302C1"
"15","30","3","C1","2","C",0,"scope",0,0,0,0,"302C1"
"16","30","3","C1","3","A",4,"scope",0.657031804075858,3.5397486073424,4,1,"303C1"
"17","30","3","C1","3","B",5,"scope",0.731462175360625,4.38842913101977,4,1,"303C1"
"18","30","3","C1","3","C",1,"scope",0.282968195924142,0.918528238650529,1,1,"303C1"
"19","31","3","C1","1","A",4,"scope",0.657031804075858,3.5397486073424,4,1,"311C1"
"20","31","3","C1","1","B",0,"scope",0,0,0,0,"311C1"
"21","31","3","C1","1","C",2,"scope",0.448493979436483,1.80862643690349,2,1,"311C1"
"22","31","3","C1","2","A",0,"scope",0,0,0,0,"312C1"
"23","31","3","C1","2","B",0,"scope",0,0,0,0,"312C1"
"24","31","3","C1","2","C",0,"scope",0,0,0,0,"312C1"
"25","31","3","C1","3","A",0,"scope",0,0,0,0,"313C1"
"26","31","3","C1","3","B",0,"scope",0,0,0,0,"313C1"
"27","31","3","C1","3","C",0,"scope",0,0,0,0,"313C1"
"136","27","7","C1","1","A",337.037037,"hemo",2.37722642914416,237.356186875941,237,1,"271C1"
"210","27","7","C1","1","B",233.3333333,"hemo",2.22764402602408,167.905591190346,168,1,"271C1"
"3101","27","7","C1","1","C",427.7777778,"hemo",2.47429833300531,297.056318587517,297,1,"271C1"
"410","27","7","C1","2","A",855.5555556,"hemo",2.75679020407905,570.202637464432,570,1,"272C1"
"510","27","7","C1","2","B",246.2962963,"hemo",2.24962455535614,176.67427638156,177,1,"272C1"
"610","27","7","C1","2","C",207.4074074,"hemo",2.17977836192079,150.278901384364,150,1,"272C1"
"710","27","7","C1","3","A",453.7037037,"hemo",2.49826478217938,313.966802945778,314,1,"273C1"
"810","27","7","C1","3","B",440.7407407,"hemo",2.48645740775148,305.519005451796,306,1,"273C1"
"910","27","7","C1","3","C",868.5185185,"hemo",2.76292210564135,578.324780348704,578,1,"273C1"
"491","30","7","C1","1","A",51.85185185,"hemo",1.61967659640402,40.6559071276609,41,1,"301C1"
"501","30","7","C1","1","B",25.92592593,"hemo",1.34436040795982,21.0983785041649,21,1,"301C1"
"511","30","7","C1","1","C",51.85185185,"hemo",1.61967659640402,40.6559071276609,41,1,"301C1"
"521","30","7","C1","2","A",64.81481481,"hemo",1.70922424379767,50.1946105777931,50,1,"302C1"
"531","30","7","C1","2","B",388.8888889,"hemo",2.43548440726115,271.573987327566,272,1,"302C1"
"541","30","7","C1","2","C",12.96296296,"hemo",1.07627893079737,10.9200734312452,11,1,"302C1"
"551","30","7","C1","3","A",64.81481481,"hemo",1.70922424379767,50.1946105777931,50,1,"303C1"
"561","30","7","C1","3","B",168.5185185,"hemo",2.09546411932762,123.584530339598,124,1,"303C1"
"571","30","7","C1","3","C",38.88888889,"hemo",1.50480082280203,30.9742836095641,31,1,"303C1"
"971","31","7","C1","1","A",12.96296296,"hemo",1.07627893079737,10.9200734312452,11,1,"311C1"
"981","31","7","C1","1","B",0,"hemo",0,0,0,0,"311C1"
"991","31","7","C1","1","C",12.96296296,"hemo",1.07627893079737,10.9200734312452,11,1,"311C1"
"1001","31","7","C1","2","A",0,"hemo",0,0,0,0,"312C1"
"1011","31","7","C1","2","B",0,"hemo",0,0,0,0,"312C1"
"1021","31","7","C1","2","C",0,"hemo",0,0,0,0,"312C1"
"1031","31","7","C1","3","A",0,"hemo",0,0,0,0,"313C1"
"1041","31","7","C1","3","B",12.96296296,"hemo",1.07627893079737,10.9200734312452,11,1,"313C1"
"1051","31","7","C1","3","C",0,"hemo",0,0,0,0,"313C1"
"138","27","14","C1","1","A",1672.222222,"hemo",3.0301404063675,1070.86578087109,1071,1,"271C1"
"212","27","14","C1","1","B",453.7037037,"hemo",2.49826478217938,313.966802945778,314,1,"271C1"
"312","27","14","C1","1","C",570.3703704,"hemo",2.59150265246303,389.39356683761,389,1,"271C1"
"412","27","14","C1","2","A",2100,"hemo",3.1230804892616,1326.64049102147,1327,1,"272C1"
"512","27","14","C1","2","B",1257.407407,"hemo",2.91383198993181,819.034246578371,819,1,"272C1"
"612","27","14","C1","2","C",2138.888889,"hemo",3.13056775032295,1349.72752610771,1350,1,"272C1"
"712","27","14","C1","3","A",1309.259259,"hemo",2.93031580310428,850.757179815761,851,1,"273C1"
"812","27","14","C1","3","B",1762.962963,"hemo",3.05170009450498,1125.41932974395,1125,1,"273C1"
"912","27","14","C1","3","C",2346.296296,"hemo",3.16833383864968,1472.4446922218,1472,1,"273C1"
"462","30","14","C1","1","A",466.6666667,"hemo",2.50974023135927,322.400160688536,322,1,"301C1"
"472","30","14","C1","1","B",311.1111111,"hemo",2.34465067596198,220.131532630622,220,1,"301C1"
"482","30","14","C1","1","C",894.4444444,"hemo",2.7749163275326,594.547392542153,595,1,"301C1"
"492","30","14","C1","2","A",116.6666667,"hemo",1.94641424374372,87.3922611655715,87,1,"302C1"
"502","30","14","C1","2","B",894.4444444,"hemo",2.7749163275326,594.547392542153,595,1,"302C1"
"513","30","14","C1","2","C",155.5555556,"hemo",2.06298837476572,114.608129568841,115,1,"302C1"
"522","30","14","C1","3","A",38.88888889,"hemo",1.50480082280203,30.9742836095641,31,1,"303C1"
"532","30","14","C1","3","B",38.88888889,"hemo",1.50480082280203,30.9742836095641,31,1,"303C1"
"542","30","14","C1","3","C",0,"hemo",0,0,0,0,"303C1"
"913","31","14","C1","1","A",350,"hemo",2.39258868947787,245.938433891315,246,1,"311C1"
"922","31","14","C1","1","B",0,"hemo",0,0,0,0,"311C1"
"932","31","14","C1","1","C",0,"hemo",0,0,0,0,"311C1"
"942","31","14","C1","2","A",0,"hemo",0,0,0,0,"312C1"
"952","31","14","C1","2","B",19.44444444,"hemo",1.23194079466725,16.0584982263398,16,1,"312C1"
"962","31","14","C1","2","C",0,"hemo",0,0,0,0,"312C1"
"972","31","14","C1","3","A",0,"hemo",0,0,0,0,"313C1"
"982","31","14","C1","3","B",19.44444444,"hemo",1.23194079466725,16.0584982263398,16,1,"313C1"
"992","31","14","C1","3","C",0,"hemo",0,0,0,0,"313C1"
"911","27","3","D1","1","A",28.83412125,"ddPCR",1.47471325042894,28.83412125,29,1,"271D1"
"109","30","3","D1","2","A",9.221434625,"ddPCR",1.00951185528941,9.221434625,9,1,"302D1"
"214","27","3","D1","1","B",39.75100075,"ddPCR",1.61013827847148,39.75100075,40,1,"271D1"
"224","30","3","D1","2","B",412.507474375,"ddPCR",2.61648336407111,412.507474375,413,1,"302D1"
"33","27","3","D1","2","A",0,"ddPCR",0,0,0,0,"272D1"
"34","30","3","D1","3","A",124.117732,"ddPCR",2.09731886336273,124.117732,124,1,"303D1"
"45","27","3","D1","2","B",66.934019375,"ddPCR",1.83208731075947,66.934019375,67,1,"272D1"
"46","30","3","D1","3","B",225.73855525,"ddPCR",2.35552537503881,225.73855525,226,1,"303D1"
"57","27","3","D1","3","A",47.308612625,"ddPCR",1.6840245651628,47.308612625,47,1,"273D1"
"58","31","3","D1","1","A",165.63422975,"ddPCR",2.22176421834678,165.63422975,166,1,"311D1"
"69","27","3","D1","3","B",47.0753945,"ddPCR",1.68192285668525,47.0753945,47,1,"273D1"
"70","31","3","D1","1","B",20.197613125,"ddPCR",1.32628696163626,20.197613125,20,1,"311D1"
"81","30","3","D1","1","A",9.5551685,"ddPCR",1.02346517066462,9.5551685,10,1,"301D1"
"82","31","3","D1","2","A",0,"ddPCR",0,0,0,0,"312D1"
"93","30","3","D1","1","B",0,"ddPCR",0,0,0,0,"301D1"
"94","31","3","D1","2","B",59.562102,"ddPCR",1.78220094032224,59.562102,60,1,"312D1"
"113","27","7","D1","1","A",0,"ddPCR",0,0,0,0,"271D1"
"114","30","7","D1","1","B",1875.882745,"ddPCR",3.27343714167296,1875.882745,1876,1,"301D1"
"125","27","7","D1","1","B",558.77017975,"ddPCR",2.74800975887652,558.77017975,559,1,"271D1"
"126","30","7","D1","2","A",206.5117955,"ddPCR",2.31704278815637,206.5117955,207,1,"302D1"
"137","27","7","D1","2","A",370.262205625,"ddPCR",2.56968074043557,370.262205625,370,1,"272D1"
"1381","30","7","D1","2","B",286.9983315,"ddPCR",2.45938997170908,286.9983315,287,1,"302D1"
"149","27","7","D1","2","B",0,"ddPCR",0,0,0,0,"272D1"
"150","30","7","D1","3","A",0,"ddPCR",0,0,0,0,"303D1"
"161","27","7","D1","3","A",36.80841625,"ddPCR",1.57758848565951,36.80841625,37,1,"273D1"
"162","30","7","D1","3","B",153.21289,"ddPCR",2.18812067606193,153.21289,153,1,"303D1"
"173","27","7","D1","3","B",3088.23227875,"ddPCR",3.48985056404338,3088.23227875,3088,1,"273D1"
"174","31","7","D1","3","A",151.802673875,"ddPCR",2.18413095397133,151.802673875,152,1,"313D1"
"185","30","7","D1","1","A",160.87000075,"ddPCR",2.20916636872901,160.87000075,161,1,"301D1"
"186","31","7","D1","3","B",736.5970015,"ddPCR",2.86781914254306,736.5970015,737,1,"313D1"
"193","31","7","D1","3","C",117.028117125,"ddPCR",2.07198547898095,117.028117125,117,1,"313D1"
"194","27","14","D1","3","A",648.257196,"ddPCR",2.81241677180272,648.257196,648,1,"273D1"
"201","31","7","D1","3","D",65.548837125,"ddPCR",1.82314047101117,65.548837125,66,1,"313D1"
"202","27","14","D1","3","B",239.750713125,"ddPCR",2.38156758221731,239.750713125,240,1,"273D1"
"209","31","7","D1","3","E",142.229497375,"ddPCR",2.15603246788783,142.229497375,142,1,"313D1"
"2101","30","14","D1","1","A",928.52598425,"ddPCR",2.96826153467667,928.52598425,929,1,"301D1"
"217","27","14","D1","1","A",409.400075625,"ddPCR",2.61320743213182,409.400075625,409,1,"271D1"
"218","30","14","D1","2","A",83.7226435,"ddPCR",1.92799949808564,83.7226435,84,1,"302D1"
"225","27","14","D1","1","B",90.765044125,"ddPCR",1.96267727777295,90.765044125,91,1,"271D1"
"226","30","14","D1","3","A",50.457652625,"ddPCR",1.71144997085098,50.457652625,50,1,"303D1"
"233","27","14","D1","1","C",235.52225525,"ddPCR",2.3738720113636,235.52225525,236,1,"271D1"
"241","27","14","D1","2","A",1307.41536625,"ddPCR",3.11674563591029,1307.41536625,1307,1,"272D1"
"249","27","14","D1","2","B",27.319118375,"ddPCR",1.45207972886122,27.319118375,27,1,"272D1"
"3116","30","14","D1","1","A",850.921332875,"ddPCR",2.93039949350421,850.921332875,851,1,"301D1"
