Temp,Symbiont,Pot,Replicate,Tube label,#larvae,Count 1,Count 2,Mean cells/mL,total volume (mL),#cells in 70 uL,Cells per larva,Day
30,F1,2,B,71,3,1,0,555.5555556,0.07,38.88888889,12.96296296,7
30,F1,2,C,72,3,2,0,1111.111111,0.07,77.77777778,25.92592593,7
30,F1,3,A,73,3,1,3,2222.222222,0.07,155.5555556,51.85185185,7
30,F1,3,B,74,3,3,6,5000,0.07,350,116.6666667,7
30,F1,3,C,75,3,3,1,2222.222222,0.07,155.5555556,51.85185185,7
30,G3,1,A,76,3,32,22,30000,0.07,2100,700,7
30,G3,1,B,77,3,9,6,8333.333333,0.07,583.3333333,194.4444444,7
30,G3,1,C,78,3,15,28,23888.88889,0.07,1672.222222,557.4074074,7
30,G3,2,A,79,3,18,19,20555.55556,0.07,1438.888889,479.6296296,7
30,G3,2,B,80,3,20,19,21666.66667,0.07,1516.666667,505.5555556,7
30,G3,2,C,81,3,22,26,26666.66667,0.07,1866.666667,622.2222222,7
30,G3,3,A,82,3,13,18,17222.22222,0.07,1205.555556,401.8518519,7
30,G3,3,B,83,3,10,10,11111.11111,0.07,777.7777778,259.2592593,7
30,G3,3,C,84,3,5,1,3333.333333,0.07,233.3333333,77.77777778,7
30,ALL,1,A,85,3,63,92,86111.11111,0.07,6027.777778,2009.259259,7
30,ALL,1,B,86,3,13,18,17222.22222,0.07,1205.555556,401.8518519,7
30,ALL,1,C,87,3,14,14,15555.55556,0.07,1088.888889,362.962963,7
30,ALL,2,A,88,3,8,5,7222.222222,0.07,505.5555556,168.5185185,7
30,ALL,2,B,89,3,14,17,17222.22222,0.07,1205.555556,401.8518519,7
30,ALL,2,C,90,3,13,22,19444.44444,0.07,1361.111111,453.7037037,7
30,ALL,3,A,91,3,35,35,38888.88889,0.07,2722.222222,907.4074074,7
30,ALL,3,B,92,3,43,45,48888.88889,0.07,3422.222222,1140.740741,7
30,ALL,3,C,93,3,62,56,65555.55556,0.07,4588.888889,1529.62963,7
30,CONTROL,1,A,94,3,0,0,0,0.07,0,0,7
30,CONTROL,1,B,95,3,0,0,0,0.07,0,0,7
30,CONTROL,1,C,96,3,0,0,0,0.07,0,0,7
31,C1,1,A,97,3,0,1,555.5555556,0.07,38.88888889,12.96296296,7
31,C1,1,B,98,3,0,0,0,0.07,0,0,7
31,C1,1,C,99,3,1,0,555.5555556,0.07,38.88888889,12.96296296,7
31,C1,2,A,100,3,0,0,0,0.07,0,0,7
31,C1,2,B,101,3,0,0,0,0.07,0,0,7
31,C1,2,C,102,3,0,0,0,0.07,0,0,7
