Temp,Symbiont,Pot,Replicate,Project,Tube label,Nuber of Larvae other than 3,Count1,Count2,Mean cells/mL,total volume (mL),#cells in 70 uL,Cells per larva,Day
30C,G3,2,A,SC18_D14_DNA,79,3,13,33,25555.55556,0.07,1788.888889,596.2962963,14
30C,G3,2,B,SC18_D14_DNA,80,3,22,36,32222.22222,0.07,2255.555556,751.8518519,14
30C,G3,2,C,SC18_D14_DNA,81,3,29,33,34444.44444,0.07,2411.111111,803.7037037,14
30C,G3,3,A,SC18_D14_DNA,82,3,4,0,2222.222222,0.07,155.5555556,51.85185185,14
30C,G3,3,B,SC18_D14_DNA,83,3,6,5,6111.111111,0.07,427.7777778,142.5925926,14
30C,G3,3,C,SC18_D14_DNA,84,3,6,5,6111.111111,0.07,427.7777778,142.5925926,14
30C,ALL,1,A,SC18_D14_DNA,85,2,90,62,84444.44444,0.07,5911.111111,2955.555556,14
30C,ALL,1,B,SC18_D14_DNA,86,3,31,24,30555.55556,0.07,2138.888889,712.962963,14
30C,ALL,1,C,SC18_D14_DNA,87,2,,,0,0.07,0,0,14
30C,ALL,2,A,SC18_D14_DNA,88,1,8,12,11111.11111,0.07,777.7777778,777.7777778,14
30C,ALL,2,B,SC18_D14_DNA,89,1,6,7,7222.222222,0.07,505.5555556,505.5555556,14
30C,ALL,2,C,SC18_D14_DNA,90,1,12,9,11666.66667,0.07,816.6666667,816.6666667,14
30C,ALL,3,A,SC18_D14_DNA,91,1,54,57,61666.66667,0.07,4316.666667,4316.666667,14
30C,ALL,3,B,SC18_D14_DNA,92,0,,,0,0.07,0,#DIV/0!,14
30C,ALL,3,C,SC18_D14_DNA,93,0,,,0,0.07,0,#DIV/0!,14
30C,CONTROL,1,A,SC18_D14_DNA,94,0,,,0,0.07,0,#DIV/0!,14
30C,CONTROL,1,B,SC18_D14_DNA,95,0,,,0,0.07,0,#DIV/0!,14
30C,CONTROL,1,C,SC18_D14_DNA,96,0,,,0,0.07,0,#DIV/0!,14
31C,C1,1,A,SC18_D14_DNA,97,1,9,0,5000,0.07,350,350,14
31C,C1,1,B,SC18_D14_DNA,98,1,0,0,0,0.07,0,0,14
31C,C1,1,C,SC18_D14_DNA,99,1,0,0,0,0.07,0,0,14
31C,C1,2,A,SC18_D14_DNA,100,2,0,0,0,0.07,0,0,14
