"","ALL.number","Temp","Day","Pot","C1","D1","F1","G3","numclade","Infect","PotCode","Symbiont"
"150","39","27","3","3",1,0,1,1,3,1,"273","All"
"151","4","27","3","2",1,1,1,1,4,1,"272","All"
"152","40","30","3","1",0,1,0,1,2,1,"301","All"
"153","41","27","14","1",1,1,0,1,3,1,"271","All"
"154","42","27","14","1",1,1,0,1,3,1,"271","All"
"155","43","27","14","2",1,1,1,1,4,1,"272","All"
"156","44","27","14","2",1,1,1,1,4,1,"272","All"
"157","45","27","14","3",1,1,1,1,4,1,"273","All"
"158","46","27","14","3",1,1,1,1,4,1,"273","All"
"159","47","30","14","1",1,1,1,1,4,1,"301","All"
"160","48","31","3","2",1,1,1,1,4,1,"312","All"
"161","49","31","3","3",0,1,1,1,3,1,"313","All"
"162","5","27","3","3",1,1,1,1,4,1,"273","All"
"163","50","31","3","3",0,0,1,1,2,1,"313","All"
"164","51","31","3","3",0,0,0,1,1,1,"313","All"
"165","52","30","7","3",1,1,1,1,4,1,"303","All"
"166","53","27","7","1",1,1,1,1,4,1,"271","All"
"167","54","27","7","2",1,1,1,1,4,1,"272","All"
"168","55","30","3","1",1,1,0,1,3,1,"301","All"
"169","56","27","7","2",1,1,1,1,4,1,"272","All"
"170","57","27","7","2",1,1,1,1,4,1,"272","All"
"171","58","27","7","3",0,0,0,1,1,1,"273","All"
"172","59","27","7","3",0,1,0,1,2,1,"273","All"
"173","6","27","3","3",1,1,1,1,4,1,"273","All"
"174","60","27","3","3",1,1,0,1,3,1,"273","All"
"175","61","30","3","1",0,1,0,1,2,1,"301","All"
"176","62","30","3","2",0,0,1,1,2,1,"302","All"
"177","63","30","3","2",0,0,1,1,2,1,"302","All"
"178","65","31","7","2",0,1,0,1,2,1,"312","All"
"179","66","31","7","2",1,1,1,1,4,1,"312","All"
"180","67","30","3","2",1,1,0,1,3,1,"302","All"
"181","68","27","7","3",1,1,1,1,4,1,"273","All"
"182","69","30","7","3",0,1,1,1,3,1,"303","All"
"183","7","30","3","1",1,1,0,1,3,1,"301","All"
"184","70","27","7","3",0,1,1,1,3,1,"273","All"
"185","71","30","7","1",1,1,1,1,4,1,"301","All"
"186","72","27","7","1",1,1,0,1,3,1,"271","All"
"187","73","30","3","3",0,1,1,1,3,1,"303","All"
"188","74","30","3","3",1,0,1,0,2,1,"303","All"
"189","75","30","3","3",0,0,1,1,2,1,"303","All"
"190","76","31","3","2",0,1,0,1,2,1,"312","All"
"191","77","30","3","2",0,1,1,1,3,1,"302","All"
"192","79","31","7","1",0,0,1,1,2,1,"311","All"
"193","8","30","3","1",0,1,1,1,3,1,"301","All"
"194","80","30","7","1",1,1,0,1,3,1,"301","All"
"195","81","30","7","1",1,1,1,1,4,1,"301","All"
"196","82","30","7","2",1,1,1,1,4,1,"302","All"
"197","83","31","7","1",1,0,1,1,3,1,"311","All"
"198","84","27","7","1",1,1,0,1,3,1,"271","All"
"199","85","27","7","2",1,1,1,1,4,1,"272","All"
"200","86","27","7","1",1,0,1,1,3,1,"271","All"
"201","87","30","14","1",1,1,1,1,4,1,"301","All"
"202","88","30","14","2",1,1,0,1,3,1,"302","All"
"203","89","30","14","2",1,1,0,1,3,1,"302","All"
"204","9","30","3","1",1,1,1,1,4,1,"301","All"
"205","90","30","14","2",1,1,0,1,3,1,"302","All"
"206","91","30","14","3",1,0,1,1,3,1,"303","All"
"207","92","30","14","3",0,0,1,1,2,1,"303","All"
"208","93","27","7","3",1,1,1,1,4,1,"273","All"
"209","94","31","3","1",0,0,0,1,1,1,"311","All"
"210","95","27","3","1",1,1,1,1,4,1,"271","All"
"211","96","31","3","1",0,1,1,1,3,1,"311","All"
"212","97","27","3","2",0,1,1,1,3,1,"272","All"
"213","98","30","14","1",1,1,1,1,4,1,"301","All"
"214","99","30","14","2",1,1,0,1,3,1,"302","All"
