"","Well","Sample.x","Target","Conc.copies.µL.","Copies.20µLWell","Accepted.Droplets","Positives","Negatives","Threshold1","Plate","Day","Temp","Symbiont","Pot","Replicate","Box","Number","Primer","Info","ALL.number","ul.DNA","BACKUP.NUMBER","DNA.20ul","copies.larvae","copyNum","cells.larvae"
"1351","H08","F1_CONTROL_D1","F1",0,0,11032,0,11032,18000,15,7,"30","D1","3","C","I","46","F1","CONTROL",NA,4,"D108",3.2,0,39,0
"1352","H09","F1_CONTROL_G3","F1",0,0,11157,0,11157,18000,15,3,"27","G3","2","E","D","31","F1","CONTROL",NA,4,"",3.2,0,39,0
"1354","H11","G3_CONTROL_D1","G3",0,0,11027,0,11027,16000,15,3,"31","D1","3","D","E","40","G3","CONTROL",NA,4,"",3.2,0,247,0
"1355","H12","G3_CONTROL_F1","G3",0,0,11419,0,11419,16000,15,14,"30","F1","1","A","C","21","G3","CONTROL",NA,4,"",3.2,0,247,0
"1356","A01","C1_CONTROL_F1","C1",0,0,11804,0,11804,11000,16,3,"27","F1","1","C","D","17","C1","CONTROL",NA,4,NA,3.2,0,24,0
"1357","A02","D1_CONTROL_C1","D1",0,0,12528,0,12528,19000,16,7,"27","C1","2","D","I","4","D1","CONTROL",NA,4,NA,3.2,0,7,0
"1358","A03","F1_CONTROL_G3","F1",0,0,11918,0,11918,18000,16,3,"31","G3","2","D","F","15","F1","CONTROL",NA,4,NA,3.2,0,39,0
"1359","A04","G3_CONTROL_D1","G3",0,0,11783,0,11783,16000,16,7,"30","D1","3","C","I","46","G3","CONTROL",NA,4,NA,3.2,0,247,0
"1361","B01","C1_CONTROL_G3","C1",0,0,12143,0,12143,11000,16,14,"31","G3","1","E","P","25","C1","CONTROL",NA,4,NA,3.2,0,24,0
"1362","B02","D1_CONTROL_F1","D1",0,0,11697,0,11697,19000,16,7,"30","G3","2","E","K","10","D1","CONTROL",NA,4,NA,3.2,0,7,0
"1363","B03","F1_CONTROL_G3","F1",0,0,11188,0,11188,18000,16,3,"31","G3","3","B","F","16","F1","CONTROL",NA,4,NA,3.2,0,39,0
"1366","C01","C1_CONTROL_F1","C1",0,0,12382,0,12382,11000,16,14,"30","F1","2","B","G","40","C1","CONTROL",NA,4,NA,3.2,0,24,0
"1367","C02","D1_CONTROL_G3","D1",0.0955742001533508,1.91148400306702,12310,1,12309,19000,16,3,"31","G3","1","D","F","13","D1","CONTROL",NA,4,NA,3.2,11.9467750191689,7,1.70668214559555
"1369","C04","G3_CONTROL_C1","G3",0,0,11977,0,11977,16000,16,7,"30","C1","2","D","I","38","G3","CONTROL",NA,4,NA,3.2,0,247,0
"1371","D01","C1_CONTROL_F1","C1",0,0,13287,0,13287,11000,16,7,"31","F1","3","D","B","41","C1","CONTROL",NA,4,NA,3.2,0,24,0
"1372","D02","D1_CONTROL_C1","D1",0,0,11765,0,11765,19000,16,7,"27","C1","3","D","I","6","D1","CONTROL",NA,4,NA,3.2,0,7,0
"1374","D04","G3_CONTROL_D1","G3",0.0922251865267754,1.84450376033783,12757,1,12756,16000,16,14,"27","D1","2","C","F","26","G3","CONTROL",NA,4,NA,3.2,11.5281483158469,247,0.0466726652463438
"1377","E02","D1_CONTROL_C1","D1",0,0,11962,0,11962,19000,16,7,"30","C1","1","E","H","36","D1","CONTROL",NA,4,NA,3.2,0,7,0
"1381","F03","G3_CONTROL_F1","G3",0.0940010845661163,1.88002169132233,12516,1,12515,16000,16,3,"31","F1","1","E","E","45","G3","CONTROL",NA,4,NA,3.2,11.7501355707645,247,0.0475713990719212
"1384","G01","D1_CONTROLC_C1","D1",0,0,12554,0,12554,19000,16,3,"31","C1","3","C","E","27","D1","CONTROL",NA,4,NA,3.2,0,7,0
"1386","G03","G3_CONTROL_D1","G3",0,0,11121,0,11121,16000,16,3,"31","F1","1","E","E","45","G3","CONTROL",NA,4,NA,3.2,0,247,0
"1389","H01","D1_CONTROLC_F1","D1",0,0,10254,0,10254,19000,16,3,"30","F1","2","D","F","8","D1","CONTROL",NA,4,NA,3.2,0,7,0
"1586","A02",NA,"C1",0.468433439731598,9.36866855621338,10048,4,10044,13500,19,7,"27","APO","1","A","H","32","C1","CONTROL",NA,4,"",3.2,58.5541799664498,24,2.43975749860207
